CV1,Raw_Free_Energy,Smoothed_Free_Energy
3.995834444685247622e+00,1.244382272044873794e+01,1.250876424855509228e+01
4.091123131605454155e+00,1.185056930903306061e+01,1.185243312873187982e+01
4.186411818525660244e+00,1.121298647714240104e+01,1.116844278545519487e+01
4.281700505445866334e+00,1.054997388382141033e+01,1.047298700850542730e+01
4.376989192366072423e+00,9.860378231827743534e+00,9.782259587662963440e+00
4.472277879286279401e+00,9.129541628624629368e+00,9.112454312708198501e+00
4.567566566206485490e+00,8.421167380465957919e+00,8.479764973421517027e+00
4.662855253126691579e+00,7.801720370054150422e+00,7.900385359583346201e+00
4.758143940046897669e+00,7.284546026941415064e+00,7.412462601722576316e+00
4.853432626967103758e+00,6.918889363787026348e+00,7.021991755546361347e+00
4.948721313887309847e+00,6.669313863665808917e+00,6.736044294697373758e+00
5.044010000807516825e+00,6.526921358956196961e+00,6.559700888994592027e+00
5.139298687727722914e+00,6.484014799186221367e+00,6.489169552272938901e+00
5.234587374647929003e+00,6.509417003291595449e+00,6.507844398280339782e+00
5.329876061568135093e+00,6.573010108544173669e+00,6.594617044458312982e+00
5.425164748488342070e+00,6.689362372932978751e+00,6.723639286526055692e+00
5.520453435408548160e+00,6.839601166046426428e+00,6.867008445971174879e+00
5.615742122328754249e+00,7.019163104664683850e+00,7.000966136205124535e+00
5.711030809248960338e+00,7.174132390469276643e+00,7.102737805089086365e+00
5.806319496169166428e+00,7.274974799418533422e+00,7.163408002973199018e+00
5.901608183089372517e+00,7.295524642589029440e+00,7.174920319565965876e+00
5.996896870009579494e+00,7.211333023026608835e+00,7.148558937737211849e+00
6.092185556929785584e+00,7.060782898347115477e+00,7.070146480512653042e+00
6.187474243849991673e+00,6.860742612618591529e+00,6.936927809320621918e+00
6.282762930770198651e+00,6.659191547327282912e+00,6.749963719159638664e+00
6.378051617690404740e+00,6.495880181890347771e+00,6.517763870831667639e+00
6.473340304610610829e+00,6.294343073658076548e+00,6.250991321934370681e+00
6.568628991530816918e+00,6.101200129915648418e+00,5.957626727267443023e+00
6.663917678451023008e+00,5.704296323750771336e+00,5.645694681789088065e+00
6.759206365371229097e+00,5.329159133907082513e+00,5.318445017570686773e+00
6.854495052291435186e+00,4.956448647545052211e+00,4.982858732196338458e+00
6.949783739211642164e+00,4.610850097431682393e+00,4.650998554382724137e+00
7.045072426131848253e+00,4.300107893308277696e+00,4.336735854414069280e+00
7.140361113052054343e+00,4.012528223476815370e+00,4.059154119396584548e+00
7.235649799972261320e+00,3.783541209483555878e+00,3.831912042748321312e+00
7.330938486892467409e+00,3.607779202260613438e+00,3.687161369794141663e+00
7.426227173812673499e+00,3.504068911221486005e+00,3.591809611087703580e+00
7.521515860732879588e+00,3.465911751074599589e+00,3.527045955933040489e+00
7.616804547653085677e+00,3.439220683726591510e+00,3.471517210118738817e+00
7.712093234573291767e+00,3.433700826263222705e+00,3.409112667562824939e+00
7.807381921493497856e+00,3.447258005074217646e+00,3.329555587077720702e+00
7.902670608413704834e+00,3.439190349226003640e+00,3.223406154013276126e+00
7.997959295333911811e+00,3.156607289804135519e+00,3.083869654794083814e+00
8.093247982254117900e+00,2.863232782322901127e+00,2.897863332871433606e+00
8.188536669174323990e+00,2.579550582623769905e+00,2.659392319090488233e+00
8.283825356094530079e+00,2.322165774378829095e+00,2.371502026877765790e+00
8.379114043014736168e+00,2.078064787964199134e+00,2.043672783137612470e+00
8.474402729934942258e+00,1.805620311854889248e+00,1.695708324539206835e+00
8.569691416855148347e+00,1.471390422055361968e+00,1.358254969127359324e+00
8.664980103775354436e+00,1.076243812845055992e+00,1.062747849753567397e+00
8.760268790695560526e+00,7.178000786129820066e-01,8.035169272800491980e-01
8.855557477615766615e+00,4.424666471958824676e-01,5.886003460114634933e-01
8.950846164535974481e+00,2.806228394486494082e-01,4.222120645861021648e-01
9.046134851456180570e+00,2.230273328953487622e-01,3.081453241041064439e-01
9.141423538376386659e+00,2.576947309397629171e-01,2.584231769934656198e-01
9.236712225296592749e+00,3.308330470261671152e-01,2.728128965661688055e-01
9.332000912216798838e+00,3.991250835487546444e-01,3.397193524765195760e-01
9.427289599137004927e+00,4.569301676076198415e-01,4.360207222656057313e-01
9.522578286057211017e+00,5.096734832050708874e-01,5.353357904996076666e-01
9.617866972977417106e+00,5.920931115620546858e-01,6.251102303446854913e-01
9.713155659897623195e+00,7.336390391086697882e-01,6.966245745545849299e-01
9.808444346817829285e+00,8.231888526480609647e-01,7.471312565283614315e-01
9.903733033738037150e+00,8.727134156039224600e-01,7.879603062480814435e-01
9.999021720658243240e+00,8.705652377058367142e-01,8.247717571433805794e-01
1.009431040757844933e+01,8.300741433131743063e-01,8.597539971941101644e-01
1.018959909449865542e+01,8.479888418837951969e-01,8.969128172921234654e-01
1.028488778141886151e+01,8.626579273104021395e-01,9.480819522304463343e-01
1.038017646833906760e+01,9.189575893801941175e-01,1.009468591075081356e+00
1.047546515525927369e+01,1.035345620060139193e+00,1.081332101151868841e+00
1.057075384217947978e+01,1.124590031651843569e+00,1.151023993118280853e+00
1.066604252909968586e+01,1.217118369349514895e+00,1.206609705863206594e+00
1.076133121601989195e+01,1.314806916272476256e+00,1.233533271633682205e+00
1.085661990294009982e+01,1.377377806384298742e+00,1.217724469270389909e+00
1.095190858986030591e+01,1.260115288215934104e+00,1.158859641414981878e+00
1.104719727678051200e+01,1.096547304552037305e+00,1.057139305154794595e+00
1.114248596370071809e+01,9.025825811835392898e-01,9.194593597651976591e-01
1.123777465062092418e+01,7.137502959304142802e-01,7.615576309701317381e-01
1.133306333754113027e+01,5.340465603842494691e-01,5.942251972365983903e-01
1.142835202446133636e+01,3.774408456623877806e-01,4.286250690256135920e-01
1.152364071138154245e+01,2.555252608291611605e-01,2.824739902138701519e-01
1.161892939830174853e+01,1.702598758325482298e-01,1.722305176797188919e-01
1.171421808522195462e+01,9.791549065672902619e-02,9.290267288622267028e-02
1.180950677214216249e+01,5.212605948692556473e-02,4.433435791775458545e-02
1.190479545906236858e+01,2.248798202009048147e-02,2.351602287166019989e-02
1.200008414598257467e+01,0.000000000000000000e+00,3.088074881534882618e-02
1.209537283290278076e+01,3.417800091811323132e-02,6.237970057180798611e-02
1.219066151982298685e+01,1.009827852749661387e-01,1.113426121748870290e-01
1.228595020674319294e+01,1.795251890328375677e-01,1.780829521965898166e-01
1.238123889366339903e+01,2.652938495879977321e-01,2.602582472309412087e-01
1.247652758058360511e+01,3.597026004154704193e-01,3.509093859620538991e-01
1.257181626750381120e+01,4.650902749129800506e-01,4.450426703029645159e-01
1.266710495442401729e+01,5.453286269687763754e-01,5.369934280855309661e-01
1.276239364134422338e+01,6.180067569166280972e-01,6.199113410235678190e-01
1.285768232826442947e+01,7.168146137044490995e-01,6.933462613434449029e-01
1.295297101518463734e+01,7.801433688951312506e-01,7.581820021085068362e-01
1.304825970210484343e+01,8.249557187621451293e-01,8.145805452143872749e-01
1.314354838902504952e+01,8.708680034063517317e-01,8.637616804495013012e-01
