Time_ns,CV1_Raw,CV2_Raw,CV1_Smooth,CV2_Smooth
0.000000000000000000e+00,6.122131521930000098e+00,1.426759895450000037e+01,6.357272397687563803e+00,1.464551612032116701e+01
1.499999999999999944e-01,5.772789329460000118e+00,1.495004953319999963e+01,6.125044226803593617e+00,1.443120970372160983e+01
2.999999999999999889e-01,6.220940192359999621e+00,1.517984184019999994e+01,5.968266543665399659e+00,1.419805802456815336e+01
4.500000000000000111e-01,6.287158752499999892e+00,1.267269014390000059e+01,5.878757109271869119e+00,1.394954013915310043e+01
5.999999999999999778e-01,6.371763068129999930e+00,1.356634878600000071e+01,5.848333684621886519e+00,1.368913510376874854e+01
7.500000000000000000e-01,6.066424429239999583e+00,1.406239746980000049e+01,5.868814030714339047e+00,1.342032197470739874e+01
9.000000000000000222e-01,5.605288959350000155e+00,1.273683872480000012e+01,5.932015908548111227e+00,1.314657980826135031e+01
1.050000000000000044e+00,5.878340592559999855e+00,1.254857299640000079e+01,6.029757079122090246e+00,1.287138766072290608e+01
1.199999999999999956e+00,6.234921420580000095e+00,1.205135145949999931e+01,6.153855303435160629e+00,1.259822458838436710e+01
1.350000000000000089e+00,6.158656517169999844e+00,1.273708989470000041e+01,6.296128342486209561e+00,1.233056964753803086e+01
1.500000000000000000e+00,5.706239722200000308e+00,1.214150527470000007e+01,6.448393957274024757e+00,1.207190189447598527e+01
1.649999999999999911e+00,6.343331252129999598e+00,1.199969861159999951e+01,6.617469760633777121e+00,1.176810072816090802e+01
1.800000000000000044e+00,6.969429174350000089e+00,1.197384316349999978e+01,6.613484303745857495e+00,1.164142505525265747e+01
1.949999999999999956e+00,6.978181888499999985e+00,1.208349151960000079e+01,6.655629750327367589e+00,1.156522025808900800e+01
2.100000000000000089e+00,7.085119724560000165e+00,1.136419012460000033e+01,6.813348191078180349e+00,1.130607768070331254e+01
2.250000000000000000e+00,7.124126413039999939e+00,1.076555469690000066e+01,7.024515941011215681e+00,1.109627993539336366e+01
2.399999999999999911e+00,7.671421438720000374e+00,1.030952769219999965e+01,7.154510424488809583e+00,1.101719264797354292e+01
2.549999999999999822e+00,7.316424843020000068e+00,1.042230958340000058e+01,7.128969782358907992e+00,1.084530025881739768e+01
2.700000000000000178e+00,6.686910645690000266e+00,1.100980849109999937e+01,7.027414469638116223e+00,1.074654279241496724e+01
2.850000000000000089e+00,6.953729518150000288e+00,9.967428497269999355e+00,7.000396339416925073e+00,1.058650020035238448e+01
3.000000000000000000e+00,6.559923342380000300e+00,1.149930629570000029e+01,6.907564977320734378e+00,1.052091331254860762e+01
3.149999999999999911e+00,5.794849057379999557e+00,1.123514340830000080e+01,6.742231439350077515e+00,1.048505394227396437e+01
3.299999999999999822e+00,7.703616355560000351e+00,9.899164118299999870e+00,6.592163232530277917e+00,1.047075009256567490e+01
3.450000000000000178e+00,7.823089035669999802e+00,9.992372734159999936e+00,6.479373078642766792e+00,1.039823022473248493e+01
3.600000000000000089e+00,6.338715590459999660e+00,1.034517387430000035e+01,6.328993271074140559e+00,1.043454468981494720e+01
3.750000000000000000e+00,5.121529218810000117e+00,1.084498961489999935e+01,6.190821102598337511e+00,1.045160264096612579e+01
3.899999999999999911e+00,5.060877502360000335e+00,1.026229426799999978e+01,5.999301471024981680e+00,1.046292240959611952e+01
4.049999999999999822e+00,5.913088263969999758e+00,1.090692979209999969e+01,5.875894919053699539e+00,1.043498561973824046e+01
4.200000000000000178e+00,6.749904178469999572e+00,1.010761495829999923e+01,5.795178545809945625e+00,1.044967920550272389e+01
4.349999999999999645e+00,5.658862758549999761e+00,1.075059688650000034e+01,5.806302230942341325e+00,1.051993206405749781e+01
4.500000000000000000e+00,5.962609175869999945e+00,1.068245682869999946e+01,5.803472292771502339e+00,1.055255461385022997e+01
4.650000000000000355e+00,5.930037406040000292e+00,1.020351279580000003e+01,5.859879004974165362e+00,1.066709932947625283e+01
4.799999999999999822e+00,5.775019539949999725e+00,1.005670485089999922e+01,5.926427925600531665e+00,1.092590286918932208e+01
4.950000000000000178e+00,5.537719218700000390e+00,1.146047629759999964e+01,6.177000997180273067e+00,1.102108258822334896e+01
5.099999999999999645e+00,5.965763252780000414e+00,1.097072069540000072e+01,6.547610352893517671e+00,1.111260986867387146e+01
5.250000000000000000e+00,5.988877579100000403e+00,1.126608916690000051e+01,6.769503516549064237e+00,1.118188137270394478e+01
5.400000000000000355e+00,7.219020907600000037e+00,1.125981602320000086e+01,6.947153241336735618e+00,1.122179251980989712e+01
5.549999999999999822e+00,7.870518550639999944e+00,1.168298512259999988e+01,7.109726987405339926e+00,1.125556569112757899e+01
5.700000000000000178e+00,8.244930961930000635e+00,1.145887041770000003e+01,7.370814723994528528e+00,1.123053258506239516e+01
5.849999999999999645e+00,7.254648984640000187e+00,1.164070218260000011e+01,7.711079086386621206e+00,1.121795254163039246e+01
6.000000000000000000e+00,8.575798690359999199e+00,1.129441194079999988e+01,7.925744280631783489e+00,1.123945587794814216e+01
6.150000000000000355e+00,8.401594293729999663e+00,1.203410954519999976e+01,8.168398456238339378e+00,1.110676060390346009e+01
6.299999999999999822e+00,8.049916681670000074e+00,1.012335286839999959e+01,8.346131367181179428e+00,1.094679247828296198e+01
6.450000000000000178e+00,8.085758305429999737e+00,1.071986539849999964e+01,8.395935888732786623e+00,1.083982460204252440e+01
6.599999999999999645e+00,7.549998100649999877e+00,1.025937431220000029e+01,8.399620274501518935e+00,1.088294599634329174e+01
6.750000000000000000e+00,8.993612242890000275e+00,1.030952926079999976e+01,8.390405649974619351e+00,1.072180827886348276e+01
6.900000000000000355e+00,8.819289466760000806e+00,1.097357764180000039e+01,8.316018051826141289e+00,1.074947203926542194e+01
7.049999999999999822e+00,8.919202019540000137e+00,1.018212618919999990e+01,8.286386365215491878e+00,1.071357170581996954e+01
7.200000000000000178e+00,8.258982821929999218e+00,1.147472106300000050e+01,8.295004427266155389e+00,1.066944706679478472e+01
7.349999999999999645e+00,7.900542510340000213e+00,1.031830224780000016e+01,8.336178766836111365e+00,1.070384083986309065e+01
7.500000000000000000e+00,8.320134855939999241e+00,9.889648697000000155e+00,8.303569930003734001e+00,1.081359739304842371e+01
7.650000000000000355e+00,7.675519131099999726e+00,1.186332790139999993e+01,8.345980907214412881e+00,1.084339355916652181e+01
7.799999999999999822e+00,7.840659231380000094e+00,1.200440538890000042e+01,8.417789247988775259e+00,1.099003241299700662e+01
7.950000000000000178e+00,8.904963825330000304e+00,1.093278832240000042e+01,8.505256051009061125e+00,1.107258864855817393e+01
