CV2,Raw_Free_Energy,Smoothed_Free_Energy
8.233938214871185934e+00,1.250743924125894857e+01,1.243680108763253145e+01
8.297163760570249735e+00,1.248656784575447354e+01,1.251548428812536606e+01
8.360389306269313536e+00,1.243288097472674814e+01,1.249764077561607678e+01
8.423614851968377337e+00,1.234097266896142209e+01,1.239275875483562572e+01
8.486840397667439362e+00,1.219486176331179195e+01,1.221032643051498212e+01
8.550065943366503163e+00,1.198056022130205456e+01,1.195983200738510988e+01
8.613291489065566964e+00,1.169784942306220188e+01,1.165076369017697466e+01
8.676517034764630765e+00,1.134985153243613887e+01,1.129260968362160256e+01
8.739742580463694566e+00,1.093933965807200792e+01,1.089635614622807225e+01
8.802968126162758367e+00,1.047792520697750973e+01,1.046596367420229612e+01
8.866193671861822168e+00,9.988982365508297434e+00,1.001649431336759655e+01
8.929419217560885969e+00,9.502125837178944323e+00,9.563036778321293951e+00
8.992644763259947993e+00,9.047673042119233955e+00,9.118107769098166671e+00
9.055870308959011794e+00,8.635550779599414639e+00,8.690490819577821213e+00
9.119095854658075595e+00,8.262916847767536765e+00,8.285460155313499442e+00
9.182321400357139396e+00,7.916215825723197597e+00,7.906615669706464899e+00
9.245546946056203197e+00,7.579825945660324749e+00,7.554625316391525125e+00
9.308772491755266998e+00,7.251237282822662777e+00,7.227671945971254175e+00
9.371998037454330799e+00,6.930659680680398615e+00,6.921668054819522631e+00
9.435223583153394600e+00,6.623450481987062766e+00,6.633390966773172970e+00
9.498449128852456624e+00,6.336448112620114870e+00,6.360104093694405769e+00
9.561674674551520425e+00,6.082121285484364925e+00,6.101743806066407316e+00
9.624900220250584226e+00,5.852315639491115995e+00,5.857910505739944540e+00
9.688125765949648027e+00,5.639655703813538423e+00,5.635764674562549814e+00
9.751351311648711828e+00,5.433134353185461229e+00,5.426974082686077061e+00
9.814576857347775629e+00,5.235043402407010049e+00,5.226124985946203338e+00
9.877802403046839430e+00,5.035569352694289513e+00,5.028311576682697570e+00
9.941027948745901455e+00,4.851127002650955866e+00,4.831746900312761994e+00
1.000425349444496526e+01,4.674315506538880172e+00,4.641874707012310530e+00
1.006747904014402906e+01,4.522191079444370487e+00,4.469881622363880425e+00
