,Wild,Wild,Wild,Wild,Wild,,W86A,W86A,W86A,W86A,W86A,,W286A,W286A,W286A,W286A,W286A
,1,2,3,AVG,SEM,,1,2,3,AVG,SEM,,1,2,3,AVG,SEM
AVG,2.982774,3.267439,4.928728,3.726313667,0.644098014,,3.711607,4.728656,5.778129,4.739464,0.627169969,,2.93915,3.650601,4.017405,3.535718667,0.370800775
SD,0.453160463,0.404342463,0.520843543,0.265830649,0.156998462,,0.501154508,0.534695288,0.629397263,0.429706859,0.160419136,,0.496645852,0.400574145,0.20447866,0.206298078,0.127267481
Slope-50,0.002777273,-0.002404992,-0.000726347,-0.000118022,,,-0.007260321,-0.013889305,-0.002768878,-0.007972835,,,-0.000696361,-0.009518095,0.005400464,-0.001604664,
R2,0.038334985,0.007447562,0.000557159,5.17851E-05,,,0.163793894,0.470343097,0.007397302,0.289302591,,,0.000393366,0.152325912,0.227371691,0.014528178,
CV,15.19258459,12.37490471,10.56750429,7.133877409,,,13.50235915,11.30755309,10.89275202,9.066570798,,,16.89760143,10.97282734,5.089819429,5.834685877,
Correlation,0.232534072,0.456773589,0.690428789,0.502319409,,,0.529431904,0.686528517,0.237563551,0.678663759,,,0.122502676,0.285574054,0.100422239,0.025473157,
Frequency,1,6,3,1,,,1,1,1,1,,,1,1,1,1,
