,Wild,Wild,Wild,,W86A,W86A,W86A,,W286A,W286A,W286A
33,2.857,3.633,5.244,,3.899,5.002,6.652,,2.559,3.518,4.264
33.1,2.621,3.722,5.466,,4.022,5.453,6.619,,2.433,3.674,4.488
33.2,2.543,3.35,4.727,,4.359,5.044,5.895,,2.669,3.712,4.271
33.3,2.992,3.936,5.125,,4.001,4.847,6.113,,2.912,3.813,4.475
33.4,2.805,3.632,5.428,,4.065,5.319,6.379,,2.749,3.602,4.124
33.5,2.514,3.826,6.056,,4.068,5.041,6.282,,2.981,3.546,4.072
33.6,2.698,3.632,6.118,,4.232,5.232,6.251,,2.838,3.566,4.534
33.7,2.702,3.954,5.177,,3.944,5.016,6.394,,2.496,3.896,4.345
33.8,2.62,3.629,5.055,,4.186,4.96,5.884,,2.543,3.641,4.145
33.9,2.543,3.723,5.414,,4.248,5.302,5.989,,2.945,3.722,3.819
34,2.411,3.712,5.702,,4.291,5.187,5.633,,2.857,4.36,4.033
34.1,3.041,3.612,5.017,,4.101,5.088,5.849,,3.057,3.937,4.285
34.2,2.916,3.694,5.583,,4.939,5.179,5.381,,2.703,4.08,3.947
34.3,2.538,3.671,5.808,,4.6,5.382,5.999,,2.577,3.992,3.976
34.4,2.739,3.577,5.229,,4.119,5.354,5.43,,2.737,4.03,4.081
34.5,2.756,3.357,4.864,,4.425,5.104,6.083,,2.712,3.915,3.926
34.6,2.475,3.662,5.025,,4.319,4.986,5.923,,2.835,3.818,4.174
34.7,2.825,3.646,4.688,,4.097,5.223,6.19,,2.769,3.588,4.033
34.8,2.494,3.482,5.354,,3.836,5.172,5.847,,2.547,3.822,4.155
34.9,2.626,2.756,5.222,,3.786,5.472,5.567,,2.766,3.88,4.199
35,2.411,2.643,5.15,,4.22,5.282,6.13,,2.704,3.499,4.023
35.1,2.606,3.579,4.985,,3.757,5.367,6.307,,2.934,3.795,4.141
35.2,2.561,3.593,5.035,,3.519,5.439,6.434,,2.648,3.552,4.062
35.3,2.552,3.788,5.619,,3.7,5.202,6.088,,2.494,3.682,3.969
35.4,2.558,3.303,5.562,,3.652,5.394,6.19,,2.833,3.999,3.932
35.5,2.607,3.499,5.545,,4.179,5.185,5.688,,2.742,3.44,3.977
35.6,2.672,3.595,5.283,,3.815,5.193,6.348,,2.675,3.421,3.862
35.7,2.668,3.429,5.405,,3.786,4.789,6.333,,2.564,3.779,3.904
35.8,2.651,3.758,5.158,,4.124,4.775,6.182,,2.637,4.31,3.653
35.9,2.738,3.653,5.263,,4.098,5.224,6.747,,2.723,3.532,3.857
36,2.495,3.52,4.894,,3.836,5.133,6.014,,2.743,3.609,3.885
36.1,2.553,3.44,4.744,,3.679,5.138,6.312,,2.71,3.833,3.863
36.2,2.796,3.435,5.081,,3.781,5.293,6.364,,2.677,4.056,3.537
36.3,2.714,3.435,4.953,,4.873,4.898,6.534,,2.519,3.824,4.042
36.4,2.518,3.706,4.803,,4.215,5.002,6.411,,2.628,3.603,3.739
36.5,2.562,3.822,5.397,,4.401,4.777,6.057,,2.528,3.69,3.777
36.6,2.435,3.831,5.073,,3.834,5.201,6.224,,2.777,3.94,4.121
36.7,2.555,3.935,5.219,,4.058,5.412,5.996,,2.641,4.075,3.79
36.8,2.877,3.671,5.108,,3.966,5.028,5.825,,2.557,3.749,3.739
36.9,2.832,3.001,4.96,,3.881,5.141,6.045,,2.734,3.704,3.877
37,2.523,3.071,5.186,,3.938,5.035,6.325,,2.881,4.554,3.662
37.1,2.266,3.255,5.334,,3.764,4.981,6.556,,2.679,4.111,3.913
37.2,2.567,3.383,4.776,,4.229,5.407,6.464,,3.441,3.771,3.963
37.3,2.71,3.343,5.283,,4.164,5.115,6.507,,4.356,3.704,3.927
37.4,2.725,3.165,5.893,,3.951,5.112,5.522,,4.238,3.881,4.191
37.5,3.03,3.55,4.845,,4.091,4.936,5.737,,4.228,3.761,3.962
37.6,2.79,3.626,5.147,,4.001,5.097,6.337,,4.545,3.523,4.149
37.7,2.672,3.738,4.664,,3.918,5.037,6.033,,4.467,3.588,3.94
37.8,2.536,3.187,4.885,,4.071,4.881,6.042,,4.476,3.667,3.845
37.9,2.805,3.494,4.946,,4.281,4.898,6.093,,4.449,3.64,3.777
38,2.567,3.728,4.934,,3.992,5.096,5.521,,4.497,3.776,3.86
38.1,2.508,3.341,4.874,,3.995,5.051,5.269,,3.973,4.184,3.817
38.2,2.475,3.491,4.764,,3.893,4.979,6.159,,4.147,3.663,3.748
38.3,2.905,3.313,5.287,,4.109,5.2,5.624,,3.717,3.578,3.806
38.4,2.954,3.507,4.858,,4.395,4.934,6.347,,3.208,3.967,4.009
38.5,2.404,3.628,5.314,,4.023,5.067,6.202,,3.596,3.851,4.009
38.6,2.514,3.336,5.28,,3.826,4.727,5.414,,2.873,3.56,4.107
38.7,2.814,3.745,5.024,,3.716,5.356,6.101,,2.979,3.705,3.96
38.8,2.531,3.724,4.839,,3.952,5,6.093,,2.758,4.186,4.056
38.9,2.66,3.61,4.646,,3.649,5.085,5.748,,2.698,3.982,4.164
39,2.545,3.696,5.146,,3.874,5.164,6.107,,2.783,3.765,4.259
39.1,3.142,3.52,5.076,,4.151,4.797,6.002,,2.807,3.418,4.042
39.2,2.921,3.596,5.315,,3.855,4.856,6.401,,2.542,4.051,3.967
39.3,2.824,3.948,4.969,,4.51,5.352,5.858,,2.678,3.863,3.978
39.4,2.677,3.328,4.923,,3.962,5.312,5.703,,2.7,4.257,3.963
39.5,2.646,3.353,4.934,,2.694,5.303,5.831,,2.787,3.866,4.11
39.6,2.416,3.904,5.037,,3.711,4.914,6.28,,2.99,4.012,3.826
39.7,2.481,3.105,5.284,,3.661,5.53,5.697,,2.95,4.108,4.004
39.8,2.468,3.443,5.316,,3.544,5.409,6.282,,2.645,3.545,4.27
39.9,3.375,3.429,5.02,,3.694,4.929,5.923,,2.6,4.138,4.056
40,2.709,3.332,4.971,,3.896,5.001,5.487,,2.845,3.724,4.112
40.1,2.51,3.485,4.957,,3.781,5.069,6.37,,3.037,4.403,4.155
40.2,2.337,3.567,5.118,,3.85,4.983,6.059,,2.818,3.868,3.792
40.3,2.093,3.751,5.035,,3.372,5.205,5.934,,2.878,3.659,3.947
40.4,2.605,3.347,4.674,,3.737,5.575,6.777,,2.949,3.693,4.129
40.5,3.198,3.365,5.236,,4.048,4.984,5.514,,2.641,3.853,3.777
40.6,2.729,3.457,4.898,,4.399,4.968,6.092,,2.808,4.088,3.914
40.7,2.952,3.226,4.891,,4.019,5.038,6.072,,2.687,3.748,4.166
40.8,2.942,3.271,4.89,,3.666,5.015,6.312,,2.427,4.343,4.086
40.9,3.288,3.272,5.006,,3.6,5.278,6.493,,2.579,3.822,4.025
41,2.625,3.223,4.897,,3.324,5.439,5.911,,2.684,4.062,4.122
41.1,1.927,3.208,4.508,,3.987,5.288,5.969,,2.592,4.066,3.967
41.2,2.192,3.277,4.813,,3.871,5.479,6.631,,2.443,3.936,3.988
41.3,2.407,3.17,5.244,,3.915,5.568,5.47,,2.382,3.678,4.07
41.4,2.381,2.862,5.074,,3.58,4.991,6.415,,2.523,4.065,4.19
41.5,2.879,3.123,4.653,,3.926,5.286,6.238,,2.668,3.713,4.146
41.6,2.626,2.916,4.749,,3.937,5.072,5.911,,2.8,3.807,3.646
41.7,2.038,3.044,4.961,,3.723,5.383,6.58,,2.516,3.992,3.786
41.8,2.467,2.983,5.154,,3.709,5.288,6.071,,2.482,4.041,3.812
41.9,2.559,3.125,5.27,,3.673,5.263,5.913,,2.608,3.992,3.931
42,2.48,3.023,4.962,,3.72,5.047,5.758,,2.339,3.666,3.975
42.1,2.872,3.209,4.997,,3.728,5.079,5.97,,2.721,4.005,4.06
42.2,2.772,2.828,4.791,,3.645,4.8,6.323,,2.516,3.856,4.074
42.3,2.624,2.759,5.139,,3.775,4.705,6.121,,2.745,3.793,4.051
42.4,2.56,2.775,5.082,,3.801,4.979,6.455,,2.602,3.928,4.121
42.5,2.687,3.202,5.36,,3.493,4.695,5.996,,2.654,4.42,3.955
42.6,2.716,2.986,4.739,,3.531,5.168,6.378,,2.55,3.906,3.849
42.7,2.552,3.395,4.998,,3.518,4.871,6.648,,2.495,3.951,3.937
42.8,2.463,3.143,4.789,,3.805,4.99,6.519,,2.521,3.753,4.034
42.9,2.816,3.459,5.134,,3.621,4.681,6.205,,2.166,3.888,3.848
43,2.686,3.477,4.671,,4.061,5.03,6.314,,2.539,4.071,4.073
43.1,2.679,3.339,5.268,,4.33,4.946,6.381,,2.272,4.066,4.011
43.2,2.538,3.561,5.344,,4.144,5.193,5.841,,2.439,3.777,3.917
43.3,2.872,3.113,5.271,,3.707,5.232,6.094,,2.185,3.85,3.804
43.4,2.566,3.439,5.153,,3.635,4.899,6.204,,2.189,3.954,3.746
43.5,2.613,3.349,4.677,,3.82,5.065,6.466,,2.65,3.494,3.824
43.6,2.547,3.312,5.057,,3.884,5.276,6.528,,2.72,3.744,3.701
43.7,2.671,3.174,4.693,,3.832,5.484,5.769,,2.502,3.956,3.885
43.8,2.786,3.594,4.692,,3.723,5.406,6.39,,2.515,3.934,3.924
43.9,2.537,3.087,4.95,,3.718,5.097,6.074,,2.479,3.756,3.987
44,2.4,2.974,4.877,,3.763,5.286,6.067,,2.162,3.845,3.834
44.1,2.79,3.49,4.801,,3.566,4.931,6.126,,2.623,3.883,3.987
44.2,2.264,3.436,4.899,,4.208,5.175,6.122,,2.881,4,3.835
44.3,2.509,3.371,4.756,,4.204,4.987,6.35,,2.783,4.013,3.941
44.4,2.755,3.423,4.738,,3.818,5.133,6.526,,2.444,3.67,3.977
44.5,2.102,3.184,4.514,,3.782,5.106,6.101,,2.722,3.576,3.877
44.6,2.467,3.316,4.753,,3.468,5.251,6.33,,2.394,4.302,3.859
44.7,2.466,3.044,4.773,,4.147,4.96,5.526,,2.672,4.415,3.962
44.8,2.747,3.12,4.902,,3.721,5.218,6.514,,2.442,4.549,3.949
44.9,2.877,3.412,4.824,,3.764,4.832,6.176,,2.248,4.707,3.985
45,2.61,3.378,4.789,,3.804,5.283,6.001,,2.225,3.716,3.905
45.1,2.768,3.592,4.993,,3.656,4.777,6.463,,2.053,4.077,4.339
45.2,2.71,3.413,5.181,,3.513,5.33,6.054,,2.397,4.086,4.257
45.3,2.413,3.486,4.94,,3.647,5.304,6.45,,2.571,3.636,4.075
45.4,2.629,3.421,4.662,,4.207,5.001,5.663,,2.269,3.68,4.065
45.5,2.624,3.582,4.668,,4.231,5.371,6.968,,2.384,3.903,3.819
45.6,2.854,3.335,5.126,,4.395,5.176,5.993,,2.582,4.1,4.068
45.7,2.657,3.14,4.977,,4.201,5.102,6.138,,2.513,4.026,4.082
45.8,2.414,3.18,5.24,,3.638,5.03,6.576,,2.436,4.015,4.115
45.9,2.745,3.379,4.842,,3.707,5.207,5.943,,2.876,3.997,4.195
46,2.628,3.149,5.012,,3.727,5.288,6.376,,2.786,4.106,4.092
46.1,2.684,3.586,5.059,,3.808,4.686,6.15,,2.526,4.193,4.166
46.2,2.795,3.34,5.295,,3.925,5.434,6.582,,2.597,4.558,4.102
46.3,2.718,3.173,5.394,,3.635,5.212,6.27,,2.499,4.612,4.063
46.4,2.767,3.581,5.255,,3.674,5.502,6.325,,2.481,4.463,4.354
46.5,2.676,3.193,5.108,,3.579,5.445,6.624,,2.857,4.373,4.004
46.6,2.84,3.135,5.035,,3.59,4.978,6.403,,2.294,4.716,4.17
46.7,2.916,3.32,5.04,,3.561,5.288,6.008,,2.119,5.107,3.988
46.8,2.577,3.154,4.89,,3.83,5.406,5.958,,2.366,4.83,4.131
46.9,2.747,3.207,5.097,,3.553,5.533,6.238,,2.44,4.281,4.261
47,2.821,3.251,4.765,,3.499,5.524,5.836,,2.266,4.275,4.023
47.1,2.756,3.674,4.647,,3.693,4.361,6.455,,2.258,3.888,4.125
47.2,2.761,3.296,4.841,,3.445,5.252,6.334,,2.281,4.087,4.252
47.3,2.711,3.577,5.041,,3.765,5.093,6.398,,2.752,3.617,4.334
47.4,2.715,3.334,4.876,,3.574,4.843,6.336,,2.819,4.144,4.217
47.5,2.96,3.265,5.046,,3.673,5.238,5.825,,3.08,3.793,4.079
47.6,2.99,3.393,4.953,,3.625,4.893,6.445,,2.815,4.235,3.86
47.7,2.427,2.879,4.808,,3.497,5.522,5.928,,2.827,3.97,4.038
47.8,2.596,3.172,4.936,,3.707,5.021,6.453,,2.703,4.269,4.226
47.9,2.768,3.074,4.917,,3.943,5.441,5.59,,2.582,4.401,4.098
48,2.21,3.2,5.043,,3.937,5.019,5.802,,2.534,4.611,3.982
48.1,2.566,2.97,5.039,,3.805,4.874,5.695,,2.504,4.107,4.173
48.2,2.3,3.021,5.203,,3.972,5.267,5.95,,2.704,4.312,4.105
48.3,2.404,3.107,4.748,,3.828,5.286,6.057,,2.568,4.644,4.175
48.4,2.617,3.157,5.111,,3.644,4.662,6.052,,2.766,4.186,4.338
48.5,2.699,3.321,4.902,,3.702,5.169,6.314,,3.195,4.559,3.989
48.6,2.556,3.265,4.648,,3.815,5,5.544,,2.844,4.42,4.302
48.7,2.757,3.325,4.762,,3.416,5.188,5.983,,2.652,4.259,4.016
48.8,2.213,3.104,5.105,,3.935,5.592,5.956,,2.647,4.158,4.014
48.9,3.17,3.247,4.73,,4.154,5.584,5.911,,2.674,4.364,3.919
49,2.451,3.634,4.593,,4.264,4.996,6.099,,2.868,4.831,4.205
49.1,2.366,3.193,5.212,,4.089,5.52,5.846,,2.792,4.372,4.067
49.2,2.137,3.451,4.907,,4.006,5.56,5.971,,3.109,4.169,4.235
49.3,2.489,3.237,5.155,,3.986,4.864,6.184,,2.707,3.875,4.407
49.4,2.563,3.279,5.361,,4.26,5.043,6.601,,2.503,3.837,3.971
49.5,2.356,3.223,4.746,,4.101,5.139,6.476,,3.14,3.686,4.025
49.6,2.552,3.126,4.655,,4.12,5.198,6.064,,2.71,4.566,4.053
49.7,2.888,3.644,4.884,,4.198,5.401,6.664,,2.884,4.544,4.117
49.8,3.172,3.344,4.713,,4.321,5.453,6.015,,3.032,4.103,3.882
49.9,3.376,3.32,5.04,,4.282,5.292,5.848,,2.597,3.886,4.035
50,3.254,3.248,4.755,,4.171,5.236,6.975,,2.764,4.003,4.166
50.1,3.472,3.324,4.777,,4.346,5.031,6.051,,2.907,4.738,3.855
50.2,3.327,3.286,5.086,,4.224,5.31,6.193,,2.59,4.852,3.999
50.3,2.642,3.228,4.742,,4.296,5.298,5.95,,2.909,4.429,4.15
50.4,2.608,3.231,4.96,,4.111,4.994,5.876,,3.059,3.885,4.076
50.5,3.063,3.387,5.21,,4.175,5.131,6.037,,2.84,4.404,4.06
50.6,2.995,3.425,4.582,,4.026,5.229,6.069,,2.729,4.25,3.889
50.7,2.835,3.392,5.04,,4.196,5.47,5.756,,2.924,4.102,3.912
50.8,2.924,3.317,5.065,,4.321,5.522,5.287,,3.122,4.306,3.965
50.9,2.968,3.493,4.919,,4.426,5.14,6.096,,3.01,4.125,4.226
51,3.053,3.299,4.915,,4.242,5.013,6.464,,2.698,3.848,4.024
51.1,3.099,3.808,5.208,,4.184,5.25,6.207,,2.791,3.801,4.221
51.2,2.931,3.27,4.899,,4.255,5.193,5.67,,3.007,3.258,3.97
51.3,3.032,3.429,5.189,,4.376,5.422,5.647,,3.227,3.823,4.117
51.4,3.028,3.202,4.947,,4.288,5.46,6.394,,3.366,3.884,3.92
51.5,2.845,3.222,4.979,,4.294,5.405,4.886,,2.753,3.802,3.977
51.6,2.674,3.383,5.129,,4.059,5.281,5.798,,2.822,4.358,3.941
51.7,3.012,3.314,4.863,,3.877,4.916,5.912,,2.903,3.701,3.894
51.8,3.165,3.374,4.831,,3.882,5.164,5.735,,2.773,4.079,3.879
51.9,3.04,3.35,5.206,,3.804,5.428,5.865,,2.762,3.947,4.019
52,3.215,3.253,5.118,,3.75,5.303,6.644,,2.687,3.492,4.16
52.1,3.036,3.322,4.694,,3.938,5.528,6.48,,2.708,3.502,3.864
52.2,3.408,2.89,4.775,,4.025,5.075,6.464,,2.794,3.737,4.06
52.3,3.023,3.219,4.733,,3.737,5.624,6.488,,2.776,3.825,4.163
52.4,3.243,3.029,4.536,,3.928,5.118,6.131,,3.253,3.939,4.062
52.5,3.258,3.355,4.803,,3.783,5.093,6.161,,3.126,3.945,4.078
52.6,3.307,2.693,4.869,,3.493,4.845,6.357,,2.893,3.81,3.983
52.7,3.133,3.387,4.736,,3.709,5.135,6.508,,2.734,3.765,3.919
52.8,3.185,3.317,4.71,,3.588,4.834,6.202,,2.666,4.1,4.17
52.9,3.336,3.283,4.892,,3.672,5.135,6.657,,2.784,4.064,3.917
53,2.696,3.788,5.04,,3.922,5.238,5.83,,2.861,3.72,3.996
53.1,3.081,3.914,5.001,,3.575,5.236,5.919,,2.482,3.621,3.799
53.2,3.092,3.42,4.961,,3.817,5.095,5.693,,3.044,3.718,3.873
53.3,3.011,3.497,4.819,,3.646,5.174,6.508,,2.906,4.266,4.142
53.4,3.008,2.831,4.692,,3.812,4.948,5.594,,2.89,4.085,3.998
53.5,3.031,2.426,4.769,,3.672,5.078,5.753,,2.838,3.74,3.903
53.6,3.236,2.692,4.774,,3.796,4.976,6.156,,2.876,3.531,3.79
53.7,3.251,3.118,4.944,,4.216,4.97,6.136,,2.693,3.763,4.037
53.8,2.99,3.152,5.064,,3.72,5.23,6.25,,3.006,3.85,4.008
53.9,2.971,3.396,4.771,,3.661,5.208,6.369,,3.163,3.67,3.956
54,3.127,3.352,5.073,,3.358,5.025,5.819,,2.9,3.401,4.025
54.1,3.263,2.985,4.916,,3.442,5.352,5.951,,2.908,3.862,3.773
54.2,3.026,3.02,4.689,,3.506,5.002,6.157,,2.939,4.153,3.923
54.3,3.183,2.972,4.811,,3.41,5.466,5.826,,2.873,3.976,3.981
54.4,2.939,3.011,4.571,,3.466,4.95,5.691,,3.144,3.361,3.958
54.5,3.086,3.045,4.728,,3.527,5.213,5.688,,3.211,3.911,3.962
54.6,2.925,3.256,4.828,,3.548,5.016,5.612,,2.96,3.495,4.132
54.7,2.838,3.198,4.712,,3.745,5.142,5.866,,2.888,3.846,3.961
54.8,2.91,3.184,4.575,,3.437,5.236,5.805,,3.032,3.809,3.822
54.9,2.802,3.026,4.826,,3.647,5.107,5.809,,2.99,3.568,3.855
55,2.886,3.206,4.373,,3.698,4.81,5.952,,2.671,3.812,3.848
55.1,3.308,3.169,4.693,,3.69,5.381,5.836,,3.038,3.929,3.936
55.2,2.814,3.347,4.624,,3.597,5.247,6.113,,2.88,3.774,4.008
55.3,2.815,3.225,4.574,,3.853,4.69,6.441,,2.804,3.597,4
55.4,3.126,3.309,4.561,,3.418,5.244,5.962,,2.691,3.183,4.135
55.5,3.198,3.225,4.56,,3.651,5.239,6.005,,2.893,3.374,4.084
55.6,3.155,3.05,4.625,,3.624,5.101,5.963,,2.899,4.073,4.054
55.7,2.891,3.223,4.755,,3.861,5.049,6.194,,2.858,3.154,4.023
55.8,2.969,3.305,4.873,,3.618,5.23,5.164,,2.559,3.455,4.183
55.9,3.035,3.13,4.468,,3.852,5.322,5.5,,2.59,3.301,4.1
56,3.057,3.592,4.775,,3.862,4.821,6.688,,2.493,3.646,4.031
56.1,3.138,3.321,4.692,,3.735,4.91,6.167,,2.382,4.181,3.989
56.2,3.17,3.17,4.745,,4.181,5.04,6.497,,2.538,4.032,3.974
56.3,3.26,3.066,4.93,,3.474,5.251,6.481,,2.265,3.853,4.049
56.4,3.248,2.739,4.875,,3.653,5.097,6.157,,2.564,3.923,3.881
56.5,3.313,3.323,4.808,,3.77,5.488,5.627,,2.693,4.047,3.805
56.6,2.855,3.042,4.842,,3.694,5.093,6.128,,2.825,3.799,3.863
56.7,3.003,3.218,4.974,,3.785,5.49,5.934,,2.504,3.281,3.812
56.8,3.056,3.45,4.839,,3.799,5.109,6.062,,2.541,3.857,4
56.9,3.251,3.068,4.558,,3.669,5.134,6.207,,2.799,3.552,4.026
57,3.033,3.515,4.721,,4.066,5.665,6.219,,2.756,3.769,3.811
57.1,2.921,3.056,4.419,,3.627,5.409,5.612,,2.93,3.761,3.945
57.2,3.13,3.028,4.712,,3.606,5.349,6.434,,2.804,3.973,3.91
57.3,2.986,3.135,4.377,,3.704,5.489,5.767,,2.68,3.68,3.99
57.4,3.195,2.934,4.765,,3.724,5.442,5.588,,2.872,3.725,3.848
57.5,2.918,2.969,4.716,,3.484,5.286,6.181,,2.578,3.56,3.879
57.6,3.222,2.907,4.311,,3.748,5.176,6.145,,2.961,4.289,3.853
57.7,3.335,2.787,5.197,,3.711,5.259,5.338,,3.194,3.479,3.812
57.8,3.154,2.63,4.746,,3.597,5.5,6.009,,2.879,3.75,3.873
57.9,2.653,2.512,4.822,,3.567,5.151,5.745,,2.843,3.85,3.852
58,3.185,2.371,4.635,,3.816,5.451,6.553,,3.301,4.38,3.983
58.1,2.879,2.464,4.867,,3.713,5.368,6.559,,3.018,4.399,3.886
58.2,2.941,2.431,4.898,,3.579,5.308,5.477,,3.333,3.91,3.903
58.3,3.207,2.43,4.77,,3.798,5.388,6.586,,3.077,3.829,3.845
58.4,3.144,2.738,4.915,,3.652,5.598,6.403,,2.928,3.951,3.85
58.5,2.906,3.232,4.849,,3.882,5.133,6.316,,3.11,3.75,3.883
58.6,2.808,2.9,4.88,,3.819,5.183,7.05,,2.735,4.009,3.865
58.7,3.137,3.07,4.905,,3.855,5.452,6.357,,2.837,3.854,3.619
58.8,3.135,3.015,4.651,,3.719,5.405,6.148,,3.198,3.663,3.866
58.9,3.14,3.087,4.988,,3.456,5.131,6.532,,2.749,3.697,3.83
59,3.352,3.126,4.833,,3.744,4.979,5.785,,3.128,3.328,3.885
59.1,3.091,3.159,4.947,,3.774,5.306,6.037,,2.769,4.015,3.772
59.2,2.941,3.246,4.992,,3.614,5.094,5.911,,2.765,3.538,3.854
59.3,2.653,3.081,4.982,,3.591,5.126,6.103,,2.816,3.817,3.565
59.4,2.593,3.197,4.833,,3.895,5.399,6.272,,3.027,3.613,3.84
59.5,3.149,3.077,4.867,,3.747,4.841,5.848,,2.922,3.356,3.937
59.6,2.986,2.933,4.541,,3.652,5.235,5.926,,2.671,3.071,3.879
59.7,3.321,3.152,4.973,,3.667,5.313,6.04,,3.022,3.083,3.632
59.8,3.248,3.303,4.906,,3.551,5.358,5.67,,2.957,3.475,3.638
59.9,2.903,3.173,4.886,,3.529,4.876,6.253,,3.893,3.19,3.973
60,3.268,3.168,4.94,,3.719,5.363,5.943,,3.092,3.189,3.63
60.1,3.293,3.081,5.121,,3.601,5.342,5.64,,3.09,3.615,3.762
60.2,3.024,3.368,4.751,,3.69,5.384,5.589,,3.279,3.173,3.88
60.3,2.953,3.137,4.797,,3.371,5.275,6.021,,3.319,3.365,3.728
60.4,2.721,3.312,5.075,,3.507,5.143,6.19,,3.396,3.336,3.857
60.5,3.169,2.816,4.982,,3.96,5.336,5.643,,2.984,3.399,3.714
60.6,2.86,3.014,5.018,,3.599,5.081,5.989,,3.089,3.369,3.829
60.7,2.865,3.19,5.039,,3.816,5.32,5.925,,3.08,3.757,3.587
60.8,3.151,2.821,4.987,,3.772,5.07,5.685,,2.973,3.733,3.789
60.9,3.093,3.139,5.315,,3.609,5.148,5.545,,2.597,3.269,3.733
61,2.967,3.034,5.014,,3.541,5.327,5.636,,2.949,3.409,3.802
61.1,3.086,3.722,5.038,,3.524,5.199,5.727,,3.654,4.293,3.795
61.2,3.263,3.134,5.008,,3.601,5.354,5.257,,3.281,3.568,3.678
61.3,3.161,3.172,5.079,,3.463,5.153,5.193,,3.222,3.236,3.915
61.4,2.948,3.339,4.848,,3.851,5.638,5.948,,3.449,4.163,3.814
61.5,2.932,3,4.754,,3.794,5.124,5.807,,3.572,3.348,3.944
61.6,2.924,3.709,5.026,,3.802,5.145,4.628,,3.514,3.884,3.783
61.7,3.074,3.415,5.261,,3.747,5.147,5.212,,3.121,3.447,3.81
61.8,3.034,3.369,4.987,,3.73,5.059,5.217,,2.879,3.761,3.885
61.9,2.994,3.43,4.868,,3.554,4.971,5.833,,3.261,3.904,3.883
62,3.03,2.274,4.877,,3.966,4.955,4.989,,2.975,3.617,3.951
62.1,3.058,2.29,4.764,,3.92,5.337,5.401,,3.124,4.085,3.503
62.2,3.082,2.225,5.071,,3.724,5.183,5.142,,3.047,3.704,3.693
62.3,2.952,2.643,5.613,,3.663,5.172,5.057,,3.232,4.289,3.827
62.4,2.939,2.383,5.496,,3.508,4.762,4.492,,3.067,3.379,3.78
62.5,3.099,2.688,5.073,,3.668,5.07,5.134,,3.142,3.864,3.778
62.6,2.914,2.508,5.716,,3.635,4.922,4.577,,3.005,3.364,3.593
62.7,3.024,2.645,5.478,,3.798,5.309,5.307,,3.499,4.153,3.89
62.8,2.991,2.679,5.583,,3.664,5.197,4.902,,3.165,3.679,4.011
62.9,3.127,2.41,5.495,,3.516,5.231,4.693,,3.157,3.663,3.751
63,2.981,2.608,5.493,,3.568,4.865,5.314,,2.987,4.035,3.955
63.1,2.691,2.502,5.886,,3.748,5.178,4.738,,3.5,3.691,3.91
63.2,3.195,3.333,5.235,,3.634,5.522,5.802,,3.051,3.407,3.882
63.3,3.217,3.109,5.004,,3.625,5.417,5.563,,3.218,3.848,3.93
63.4,3.134,3.361,4.811,,3.297,5.209,4.899,,3.179,4.223,3.884
63.5,3.354,3.234,5.701,,3.511,4.961,5.945,,3.377,3.777,4.089
63.6,3.166,3.286,5.338,,3.941,5.153,5.849,,3.348,3.761,4.155
63.7,3.163,3.23,4.922,,3.77,4.876,5.155,,3.177,3.996,4.018
63.8,3.027,3.144,5.358,,3.656,4.975,5.495,,3.311,3.909,3.994
63.9,3.087,3.147,5.189,,3.714,4.68,5.584,,3.546,3.808,3.906
64,2.668,3.192,5.141,,3.279,4.52,5.711,,3.309,3.635,3.877
64.1,2.746,3.456,4.919,,3.475,5.037,5.351,,3.385,4.021,4.083
64.2,2.797,3.427,5.193,,4.047,5.11,5.185,,3.184,3.63,4.011
64.3,3.032,3.343,5.745,,3.65,5.028,5.448,,3.034,4.151,3.808
64.4,2.925,3.511,4.782,,4.173,4.895,5.144,,2.986,4.019,3.857
64.5,3.109,3.431,4.796,,3.864,5.028,5.908,,3.095,4.12,3.996
64.6,2.71,3.22,5.151,,4.33,5.064,5.874,,3.096,3.557,3.985
64.7,2.977,3.722,4.883,,4.032,4.793,5.893,,3.209,3.908,3.942
64.8,2.78,3.597,4.915,,3.92,4.381,5.322,,3.089,3.787,3.961
64.9,2.918,3.501,5.153,,3.865,4.6,5.371,,3.746,3.818,3.723
65,2.622,3.693,6.132,,3.911,4.805,4.846,,3.113,3.9,4.113
65.1,2.573,3.622,5.618,,4.229,4.71,5.09,,3.091,4.29,3.616
65.2,3.224,3.543,5.946,,4.188,4.712,5.144,,3.234,3.509,3.741
65.3,2.804,3.108,5.678,,4.034,4.788,4.846,,3.089,3.409,3.775
65.4,2.615,3.128,5.985,,4.348,4.6,5.425,,3.073,4.039,3.87
65.5,3.285,3.313,6.183,,4.423,4.76,5.067,,3.375,3.527,3.979
65.6,3.028,3.066,5.832,,4.227,5.157,4.85,,3.799,3.381,3.983
65.7,2.745,3.291,6.021,,4.344,4.796,4.928,,3.168,3.729,4.007
65.8,2.98,3.208,5.594,,4.468,5.012,4.665,,3.19,3.743,3.9
65.9,3.275,3.355,5.522,,4.398,5.067,5.04,,3.171,3.74,3.774
66,3.03,3.238,6.018,,4.641,4.731,4.793,,3.218,3.518,3.939
66.1,2.952,2.634,5.686,,4.58,4.698,4.91,,3.471,3.508,3.828
66.2,3.104,3.433,5.336,,4.528,5.2,5.332,,3.102,3.721,3.768
66.3,2.756,2.989,5.103,,4.34,4.489,5.246,,3.143,3.784,3.837
