,Wild,Wild,Wild,,W86A,W86A,W86A,,W286A,W286A,W286A
7.6,2.974,3.303,4.217,,2.716,4.232,5.506,,3.7,3.392,4.306
7.7,2.58,2.894,4.17,,3.288,3.775,5.473,,3.537,3.623,3.808
7.8,3.092,2.76,4.335,,3.273,3.911,5.549,,3.606,3.414,3.851
7.9,2.802,3.461,4.197,,3.094,3.745,6.077,,3.729,3.612,4.466
8,2.462,2.678,4.612,,3.254,3.678,5.635,,3.803,3.329,4.286
8.1,2.784,3.12,4.172,,2.379,3.292,6.262,,3.876,4.277,4.47
8.2,2.679,2.625,4.396,,2.879,3.365,5.5,,3.855,4.105,4.376
8.3,2.722,2.833,4.205,,3.481,3.436,6.176,,3.731,3.584,4.424
8.4,2.5,2.817,3.986,,3.497,3.574,5.792,,3.488,3.318,4.292
8.5,2.486,2.819,4.378,,3.606,3.808,6.193,,3.635,3.441,4.296
8.6,2.547,2.816,4.133,,3.758,3.63,6.058,,3.653,3.246,3.973
8.7,2.538,3.082,4.243,,3.332,3.755,5.734,,3.513,3.534,4.02
8.8,2.821,2.776,4.12,,3.575,3.315,6.335,,3.672,3.194,4.08
8.9,2.468,2.623,4.009,,3.663,3.741,6.422,,3.267,3.249,4.307
9,2.715,2.956,4.123,,3.419,3.752,5.646,,3.198,3.798,3.873
9.1,2.583,2.977,4.083,,3.239,4.25,6.008,,3.196,3.786,4.288
9.2,2.56,2.336,4.249,,3.532,3.45,5.695,,2.947,3.864,4.212
9.3,2.548,2.853,4.534,,3.595,3.744,5.685,,2.566,3.515,4.296
9.4,2.67,2.903,4.269,,3.972,3.522,6.056,,2.304,3.387,3.874
9.5,2.731,2.892,4.303,,3.999,3.642,5.639,,2.457,3.092,4.164
9.6,2.687,3.223,4.421,,3.489,4.564,5.633,,2.321,3.234,4.384
9.7,2.567,2.829,4.591,,3.249,4.35,6.148,,2.092,3.352,4.467
9.8,2.71,3.078,4.281,,3.746,4.433,5.752,,2.315,3.302,4.44
9.9,2.87,3.142,4.572,,3.735,4.414,5.797,,2.428,3.404,4.172
10,2.617,3.267,4.364,,3.521,4.336,5.054,,1.268,3.499,4.471
10.1,2.671,3.005,4.201,,4.275,4.67,5.233,,2.091,3.533,4.067
10.2,2.849,3.156,4.145,,3.99,4.136,5.773,,2.217,3.057,3.992
10.3,2.771,3.342,4.155,,3.566,4.296,5.19,,2.456,3.257,4.305
10.4,2.51,3.041,4.661,,3.137,4.203,5.522,,2.325,3.315,4.503
10.5,2.941,3.113,4.405,,3.63,4.483,5.391,,2.399,3.334,4.045
10.6,2.577,3.172,4.674,,3.21,4.415,5.88,,2.64,3.424,4.481
10.7,2.839,3.122,4.513,,3.216,4.336,5.853,,1.956,3.312,4.258
10.8,2.769,2.9,4.613,,2.771,4.03,5.836,,2.452,3.463,3.972
10.9,2.779,2.74,4.426,,2.917,4.09,5.997,,2.272,3.439,4.194
11,3.094,3.158,4.392,,2.925,4.139,6.08,,2.973,3.067,4.301
11.1,2.988,3.243,4.15,,2.506,4.093,6.169,,2.915,3.709,4.169
11.2,2.573,3.342,4.297,,2.966,4.282,6.593,,2.966,3.617,4.636
11.3,3.099,2.807,4.372,,2.937,4.562,6.598,,2.863,3.26,4.211
11.4,2.456,3.178,4.05,,2.833,4.007,6,,2.87,3.818,4.318
11.5,2.827,3.039,4.293,,3.215,4.728,5.829,,3.118,3.603,4.258
11.6,2.994,2.844,4.465,,2.977,4.281,5.793,,2.944,3.378,4.438
11.7,2.688,2.985,4.348,,3.405,4.578,5.796,,2.802,2.915,3.939
11.8,2.599,2.652,4.085,,3.533,4.28,6.499,,2.955,3.453,4.177
11.9,2.832,2.889,4.447,,3.488,4.266,5.997,,2.741,3.539,4.62
12,2.859,3.015,4.359,,3.633,4.245,5.841,,2.811,3.527,4.223
12.1,2.792,2.499,4.192,,3.65,4.427,6.074,,2.628,3.478,4.402
12.2,2.952,2.734,4.329,,3.037,4.712,5.97,,2.539,3.595,4.152
12.3,2.806,3.662,4.336,,3.218,4.369,6.01,,2.861,3.679,4.099
12.4,3.145,3.027,4.044,,3.521,4.49,6.262,,2.395,3.641,4.428
12.5,3.082,3.16,4.311,,3.202,4.265,6.299,,3.135,3.061,4.343
12.6,2.802,3.209,4.066,,3.692,4.388,5.991,,2.781,3.424,4.253
12.7,2.689,2.725,4.355,,3.661,4.432,6.282,,2.925,3.515,4.331
12.8,2.71,3.382,4.053,,3.667,4.111,5.949,,2.833,3.609,4.338
12.9,2.713,3.495,4.369,,3.17,4.334,6.173,,2.621,3.604,4.121
13,2.686,3.219,4.058,,3.445,4.399,5.96,,2.731,3.704,4.225
13.1,3,2.878,4.304,,3.57,4.133,5.59,,2.634,3.717,4.521
