,Wild,Wild,Wild,,W86A,W86A,W86A,,W286A,W286A,W286A
Time,41,1821,3191,,41,1821,3191,,41,1821,3191
32.6,2.713,2.367,4.329,,7.084,7.395,3.933,,3.301,5.235,2.083
32.7,2.576,2.304,4.417,,8.271,6.962,4.031,,3.966,5.084,2.443
32.8,2.735,2.344,4.426,,8.446,6.848,3.95,,4.281,5.678,2.144
32.9,2.97,2.323,4.336,,7.97,7.099,3.824,,4.232,5.682,1.901
33,3.029,2.397,4.204,,8.348,7.059,3.79,,3.435,5.365,2.234
33.1,2.686,2.563,4.401,,8.306,6.672,4.105,,3.647,5.184,2.534
33.2,2.828,2.335,4.708,,8.609,6.89,3.892,,3.908,5.311,3.397
33.3,2.824,2.472,4.606,,8.528,7.582,3.806,,4.144,5.254,2.421
33.4,3.191,2.49,4.425,,8.657,7.101,3.448,,3.899,5.631,2.386
33.5,2.919,2.57,4.075,,9.175,6.796,4.06,,4.02,5.554,2.077
33.6,2.916,2.749,4.501,,9.154,7.464,3.768,,3.941,5.511,2.514
33.7,2.829,2.447,4.311,,8.938,6.676,3.491,,4.788,5.877,2.593
33.8,2.618,2.689,4.317,,8.496,6.882,3.663,,5.006,5.612,2.314
33.9,2.832,2.752,4.626,,8.82,6.967,4.112,,5.166,5.358,2.393
34,2.798,2.459,4.473,,8.203,6.902,4.243,,5.05,5.41,2.376
34.1,2.776,2.253,4.327,,8.287,6.809,4.129,,5.141,5.454,2.387
34.2,2.965,2.287,4.347,,8.347,6.689,4.391,,4.86,5.136,2.656
34.3,2.539,2.476,4.252,,8.677,6.956,3.918,,4,5.685,2.379
34.4,3.106,2.548,4.808,,8.871,7.026,3.986,,3.829,5.569,2.291
34.5,2.96,2.599,4.746,,8.023,6.207,4.215,,3.732,5.284,2.583
34.6,3.125,2.315,4.788,,8.33,6.527,4.205,,3.84,5.368,2.332
34.7,3.136,2.148,4.21,,8.617,6.785,3.937,,4.169,5.387,2.69
34.8,2.667,2.363,4.679,,8.604,6.791,4.065,,3.788,5.424,2.297
34.9,3.043,2.203,4.645,,8.53,6.643,3.492,,3.962,5.664,2.247
35,2.634,2.245,4.628,,8.48,6.964,3.924,,3.549,5.498,2.654
35.1,2.881,2.144,4.647,,8.385,6.568,4.077,,3.487,5.623,2.518
35.2,2.623,2.097,4.544,,8.777,6.832,3.697,,3.547,5.308,2.18
35.3,2.772,2.537,4.921,,8.43,6.725,3.965,,3.564,5.245,2.404
35.4,3.175,2.572,4.629,,8.667,7.294,4.421,,3.765,5.691,2.316
35.5,2.909,2.563,4.456,,8.462,7.24,4.177,,4.012,5.61,2.273
35.6,3.266,2.702,4.656,,8.484,7.139,4.403,,4.191,5.768,2.028
35.7,2.976,2.772,4.717,,8.783,6.978,4.219,,4.959,5.343,2.217
35.8,2.597,2.327,4.661,,8.715,7.102,3.633,,5.106,5.378,2.004
35.9,2.721,2.561,4.413,,8.007,6.556,4.282,,5.126,5.193,2.49
36,3.004,2.412,4.624,,8.555,6.894,3.811,,5.043,5.769,2.555
36.1,2.651,2.193,4.931,,8.431,7.071,4.245,,4.11,5.196,2.803
36.2,2.801,2.188,4.339,,8.678,6.708,3.917,,3.524,5.728,2.549
36.3,2.997,2.377,4.078,,8.612,6.974,4.493,,3.823,5.477,2.658
36.4,2.448,2.474,4.158,,8.119,7.116,4.659,,4.882,5.76,2.399
36.5,2.686,2.17,4.521,,8.398,7.275,3.654,,3.957,5.266,2.592
36.6,3.184,2.537,4.207,,9.154,6.622,4.194,,3.643,5.399,2.22
36.7,2.9,2.347,4.589,,8.378,6.922,4.437,,4.326,5.398,2.249
36.8,3.027,2.525,4.342,,8.925,7.419,4.582,,4.032,5.521,2.628
36.9,2.595,2.444,4.223,,8.179,6.583,4.248,,3.601,5.431,2.184
37,2.552,2.278,4.612,,8.363,6.924,4.703,,4.357,5.575,2.18
37.1,2.446,2.273,4.416,,8.375,7.062,4.163,,4.496,5.198,1.547
37.2,2.841,2.297,4.075,,8.632,6.933,4.101,,4.277,5.379,2.394
37.3,3.076,2.565,4.542,,8.621,7.114,3.953,,4.279,5.459,2.122
37.4,3.179,2.204,4.342,,8.028,6.801,4.291,,4.034,5.714,2.63
37.5,3.266,2.47,4.333,,8.529,7.023,4.018,,3.936,5.81,2.871
37.6,2.743,2.51,4.397,,8.9,7.252,4.02,,3.958,5.565,2.328
37.7,3.019,2.254,4.279,,8.617,7.052,4.19,,3.853,5.57,2.135
37.8,2.884,2.361,3.996,,8.731,6.506,4.17,,3.803,5.298,2.32
37.9,2.555,2.785,4.305,,8.651,6.995,4.372,,3.734,5.53,2.581
38,3.014,2.952,4.328,,8.447,7.13,4.273,,4.033,5.567,2.284
38.1,2.73,2.775,4.049,,8.22,7.241,4.163,,4.152,5.746,2.666
38.2,2.532,2.992,4.397,,8.539,7.51,4.518,,3.761,5.458,2.4
38.3,2.954,2.406,4.608,,8.875,7.163,4.289,,4.074,5.319,2.328
38.4,2.954,2.104,4.615,,9.002,7.35,4.059,,4.087,5.783,1.807
38.5,2.601,2.206,4.375,,8.355,7.436,3.982,,3.792,5.704,2.397
38.6,3.279,2.167,4.815,,8.649,6.699,3.437,,4.135,5.425,2.183
38.7,2.911,2.372,4.424,,8.569,6.738,3.68,,4.242,5.62,2.516
38.8,2.996,2.443,4.017,,8.74,6.397,3.678,,4.594,5.781,2.555
38.9,2.683,2.573,4.457,,8.764,6.983,3.398,,4.823,5.696,2.748
39,2.718,2.261,4.55,,8.813,6.969,3.598,,5.124,5.763,2.684
39.1,3.156,2.362,4.718,,8.469,7.031,3.93,,4.98,6.053,2.708
39.2,3.238,2.52,4.591,,8.566,7.054,3.898,,4.853,5.825,2.818
39.3,2.708,2.805,4.681,,8.288,7.297,3.99,,5.126,5.795,2.749
39.4,3.073,2.7,4.429,,8.085,7.253,3.433,,5.178,5.556,2.726
39.5,3.185,2.923,4.616,,8.495,6.937,3.999,,5.005,5.375,2.735
39.6,2.785,2.987,4.375,,8.419,7.289,4.144,,4.912,5.145,2.962
39.7,2.823,2.149,4.343,,8.773,6.941,3.9,,5.158,5.601,2.794
39.8,2.612,2.488,4.425,,8.853,7.011,4.196,,4.957,5.39,2.752
39.9,3.072,2.126,4.218,,8.347,7.325,4.134,,5.235,5.966,2.825
40,2.836,2.52,4.44,,8.631,6.929,4.039,,4.537,6.002,2.851
40.1,2.89,2.461,4.532,,8.908,6.742,4.099,,4.95,5.65,2.741
40.2,3.069,2.306,4.641,,8.69,7.126,4.23,,4.915,5.674,2.729
40.3,2.715,2.28,4.493,,9.067,6.795,3.976,,5.393,5.798,2.955
40.4,2.692,2.838,4.294,,8.75,7.109,4.08,,5.107,5.716,2.779
40.5,2.469,2.667,4.325,,8.7,6.735,4.24,,5.17,5.704,2.78
40.6,2.774,2.459,4.585,,9.158,7.06,4.352,,4.879,5.535,2.764
40.7,2.893,2.262,4.229,,8.646,6.476,4.031,,5.128,5.612,2.888
40.8,3.179,2.391,4.318,,9.12,6.614,4.253,,4.907,5.703,2.999
40.9,3.044,2.767,5.079,,9.065,7.292,4.131,,5.292,5.893,2.489
41,3.074,2.74,4.692,,9.21,6.697,4.125,,4.989,5.901,2.377
41.1,3.197,2.801,4.519,,8.48,6.788,4.017,,5.26,5.909,2.372
41.2,2.871,2.824,4.624,,8.649,6.705,3.862,,5.001,5.947,2.591
41.3,2.849,2.94,4.604,,8.35,6.237,3.794,,5.307,5.539,2.799
41.4,2.633,2.868,3.955,,8.595,6.329,4.313,,5.204,5.958,2.671
41.5,2.551,2.847,4.127,,8.486,6.731,3.931,,4.455,5.727,2.656
41.6,2.924,2.306,4.153,,8.398,7.184,3.785,,4.726,5.085,2.463
41.7,2.596,2.303,4.557,,8.517,6.677,4.532,,4.984,5.761,2.252
41.8,2.811,2.056,4.539,,8.319,6.841,4.269,,4.707,5.374,2.64
41.9,3.055,1.961,4.487,,8.217,6.766,4.064,,4.093,5.349,2.81
42,2.804,2.235,4.349,,8.486,6.997,3.923,,4.436,5.655,2.664
42.1,2.57,2.28,4.449,,8.344,6.7,4.756,,4.572,5.754,2.863
42.2,2.947,2.371,4.387,,8.986,6.865,4.461,,4.421,5.556,2.621
42.3,2.716,2.191,4.371,,8.337,6.931,4.464,,4.475,5.677,2.731
42.4,2.863,2.148,4.07,,8.285,6.793,4.467,,5.001,5.46,2.997
42.5,2.469,2.171,4.191,,7.574,6.894,4.548,,4.792,5.904,2.684
42.6,2.716,2.035,4.254,,9.747,6.954,3.981,,4.822,5.209,2.634
42.7,2.702,1.824,4.768,,9.336,6.95,4.505,,5.557,5.463,2.839
42.8,2.657,2.247,4.6,,9.206,7.045,3.814,,5.32,5.567,2.722
42.9,2.558,2.135,4.649,,8.888,6.941,4.291,,5.433,5.67,2.412
43,2.999,2.063,4.333,,8.495,6.634,4.37,,5.495,5.574,2.789
43.1,2.727,1.868,4.327,,8.592,6.926,4.292,,5.364,5.564,2.789
43.2,2.525,2.161,4.03,,8.366,7.431,4.691,,4.781,5.514,2.687
43.3,2.976,2.415,4.394,,8.361,7.209,4.811,,4.809,5.627,2.408
43.4,2.916,2.426,4.198,,8.849,7.122,4.406,,5.047,5.609,2.259
43.5,2.795,2.193,4.346,,8.14,6.983,4.868,,4.775,5.69,2.162
43.6,2.476,2.046,4.457,,8.697,6.592,4.902,,4.47,5.791,2.392
43.7,2.522,1.871,4.785,,8.494,6.816,4.194,,4.99,5.924,2.401
43.8,2.778,2.062,4.373,,8.746,6.828,4.443,,4.683,5.427,2.862
43.9,2.543,2.054,4.504,,8.336,6.68,3.832,,4.699,6.086,2.172
44,2.908,2.344,4.305,,8.682,7.263,4.02,,4.746,5.949,2.628
44.1,2.631,2.201,4.048,,8.749,7.216,4.714,,4.654,5.653,2.563
44.2,3.236,2.387,4.43,,8.473,7.158,4.478,,4.712,5.477,2.525
44.3,2.689,2.138,4.225,,8.664,7.102,4.098,,4.512,5.268,2.268
44.4,2.708,2.194,4.206,,8.256,7.338,4.698,,4.567,5.898,2.604
44.5,2.623,2.544,4.421,,8.559,7.05,4.146,,4.481,5.76,2.313
44.6,2.981,2.33,4.234,,8.951,6.555,3.303,,4.772,5.5,2.316
44.7,3.086,2.508,4.282,,8.821,6.629,3.87,,4.59,5.85,2.383
44.8,2.893,2.243,4.475,,8.206,6.576,4.21,,4.683,5.428,2.758
44.9,2.589,2.385,4.122,,8.502,6.388,4.504,,4.732,5.673,2.517
45,2.626,2.114,4.5,,8.583,6.669,4.77,,4.418,5.191,2.506
45.1,3.018,2.166,4.271,,8.558,6.465,4.043,,4.892,5.155,2.64
45.2,2.802,2.168,4.639,,8.286,6.504,4.08,,4.861,5.533,2.391
45.3,3.283,2.254,4.517,,8.519,6.546,4.722,,5.134,5.439,2.34
45.4,2.702,2.172,4.171,,8.945,6.356,4.233,,4.908,5.666,3.043
45.5,2.484,2.12,4.646,,8.512,6.803,4.148,,5.001,5.313,2.672
45.6,2.558,2.295,4.525,,8.939,6.901,4.333,,4.771,5.361,3.213
45.7,2.591,2.708,4.678,,9.319,6.519,4.121,,5.13,5.792,2.911
45.8,2.3,2.366,4.317,,8.753,7.181,4.095,,5.008,5.484,3.108
45.9,2.519,2.24,4.458,,8.648,7.051,3.948,,4.895,6.205,2.835
46,2.424,2.239,4.396,,8.575,7.068,4.079,,4.968,5.549,2.454
46.1,2.86,2.233,4.302,,8.577,7.45,4.222,,5.134,6.196,2.777
46.2,2.986,2.131,4.785,,8.768,6.672,4.54,,4.85,4.98,2.809
46.3,2.509,2.448,4.625,,8.435,6.733,3.623,,4.847,5.819,2.575
46.4,2.803,2.815,5.108,,8.591,7.039,3.529,,4.778,6.317,2.545
46.5,2.785,2.969,4.74,,8.338,7.062,3.84,,5.057,6.418,2.589
46.6,2.918,2.806,4.908,,8.615,6.594,4.326,,4.542,5.139,2.715
46.7,2.65,2.889,4.93,,8.154,6.873,3.705,,5.149,5.658,2.956
46.8,2.847,3.401,4.701,,8.947,6.474,3.88,,4.967,5.509,2.291
46.9,2.75,3.012,4.965,,8.535,6.855,3.868,,5.082,5.415,2.887
47,2.551,3.129,4.567,,8.431,6.546,4.038,,4.967,5.862,2.46
47.1,2.748,2.989,4.29,,8.338,6.871,4.194,,5.462,5.544,2.436
47.2,2.757,3.237,4.822,,8.548,7.01,4.215,,5.397,5.34,2.54
47.3,2.676,3.059,4.468,,8.507,6.855,4.117,,5.287,5.299,2.615
47.4,2.63,3.591,4.235,,8.718,6.851,3.99,,5.555,5.895,2.426
47.5,2.924,3.391,4.531,,8.469,6.873,4.322,,5.463,5.922,2.467
47.6,2.861,3.215,4.466,,8.24,7.46,4.24,,5.325,5.723,2.928
47.7,2.903,3.315,4.205,,8.195,6.697,4.388,,5.243,5.431,2.268
47.8,2.934,3.01,4.424,,9.068,6.445,3.926,,5.488,5.342,2.531
47.9,2.673,3.259,4.508,,8.408,6.479,4.265,,5.296,5.402,2.44
48,2.724,3.305,4.332,,8.593,6.762,3.857,,5.144,5.282,2.42
48.1,2.953,3.304,3.963,,8.524,6.614,3.879,,5.659,5.601,2.636
48.2,2.775,3.11,4.373,,8.586,6.862,3.876,,5.164,4.782,2.347
48.3,2.941,3.236,4.78,,8.826,6.513,3.927,,5.238,4.966,2.205
48.4,2.942,3.092,4.896,,8.91,6.686,4.045,,5.317,5.575,2.352
48.5,2.73,3.468,4.183,,8.651,6.692,4.188,,5.571,5.862,2.365
48.6,2.942,3.506,4.379,,8.936,6.249,3.802,,5.048,5.777,2.381
48.7,2.754,3.39,4.531,,8.323,6.501,3.333,,5.158,5,2.423
48.8,2.682,3.426,4.275,,8.38,6.849,3.736,,5.184,5.621,2.577
48.9,2.885,3.292,4.986,,8.699,6.64,3.881,,5.401,5.439,2.384
49,2.4,3.308,4.769,,8.596,6.491,4.252,,5.145,5.419,2.397
49.1,2.482,3.143,4.729,,8.648,6.717,3.901,,5.028,5.312,2.485
49.2,3.143,3.548,4.51,,8.412,6.401,4.05,,5.371,5.668,2.74
49.3,2.973,3.415,4.607,,8.773,7.001,3.866,,5.24,5.401,3.038
49.4,2.44,3.368,4.339,,8.558,6.693,3.927,,5.442,5.414,3.197
49.5,2.372,3.264,4.794,,8.477,7.377,4.414,,4.963,5.249,2.886
49.6,2.569,3.536,4.424,,8.598,7.022,3.928,,4.838,5.059,2.885
49.7,3.046,3.279,4.481,,8.782,6.67,4.294,,5.017,5.429,2.343
49.8,2.435,3.251,4.823,,8.783,7.347,4.491,,5.028,5.621,2.778
49.9,2.482,3.395,4.576,,8.727,7.082,4.116,,5.623,5.479,3.216
50,2.726,3.286,4.591,,8.41,6.812,4.816,,5.503,5.483,2.954
50.1,2.957,3.272,5.072,,8.739,6.728,4.829,,4.908,5.382,2.737
50.2,2.704,3.358,4.737,,8.038,6.696,5.442,,4.961,5.851,2.463
50.3,2.549,3.427,4.788,,8.415,6.729,5.361,,4.915,5.205,2.38
50.4,2.586,3.251,4.679,,9.1,6.996,5.43,,5.244,5.456,2.318
50.5,2.929,3.267,4.434,,8.497,6.639,6.059,,4.968,5.42,3.082
50.6,3.107,3.135,4.298,,8.641,7.093,6.834,,4.803,5.539,2.951
50.7,2.787,3.387,4.345,,8.294,6.74,6.835,,4.839,5.138,2.511
50.8,2.683,3.253,4.713,,9.138,6.682,6.412,,5.273,5.402,2.671
50.9,2.994,3.224,4.882,,7.988,6.905,6.656,,4.918,5.733,2.567
51,2.545,2.977,4.316,,8.322,6.876,6.041,,4.986,4.904,2.645
51.1,2.777,3.048,4.634,,8.888,6.962,6.417,,5.142,4.702,3.023
51.2,2.781,3.344,4.909,,8.369,6.643,6.331,,5.474,5.118,2.597
51.3,3.144,3.441,4.983,,8.485,6.811,7.629,,4.865,5.445,2.384
51.4,2.928,3.406,4.581,,8.691,6.683,6.716,,5.231,5.065,2.725
51.5,2.941,3.501,4.251,,8.195,6.868,6.044,,5.601,4.885,2.488
51.6,2.985,3.652,4.126,,8.22,7.242,6.659,,5.297,4.945,2.921
51.7,3.123,3.387,4.279,,8.162,7.118,5.986,,5.406,5.449,2.839
51.8,2.46,3.363,4.536,,8.424,7.189,6.631,,5.501,5.475,2.929
51.9,2.875,3.845,4.654,,8.469,6.79,6.501,,5.239,6.214,2.541
52,2.875,3.13,4.652,,8.865,6.966,6.781,,4.983,5.21,2.381
52.1,2.965,3.413,5.039,,8.282,6.31,6.075,,5.388,5.172,2.567
52.2,3.062,3.3,4.531,,8.515,6.759,5.656,,5.594,5.258,2.315
52.3,2.667,3.307,4.925,,8.644,6.46,6.314,,4.937,5.439,2.933
52.4,3.12,3.422,4.709,,9.097,6.698,6.709,,5.2,5.069,2.865
52.5,2.59,3.048,4.354,,8.571,6.76,6.613,,5.443,5.098,2.193
52.6,2.632,3.348,4.531,,8.473,6.838,6.281,,5.085,5.908,2.77
52.7,3.145,2.848,4.505,,8.579,7.077,7.005,,5.666,5.969,2.887
52.8,2.732,3.138,4.854,,8.942,6.86,6.758,,4.894,5.5,2.752
52.9,2.621,3.271,4.253,,8.798,7.042,6.461,,5.274,5.422,2.872
53,2.69,3.396,3.697,,8.372,7.046,6.391,,5.156,5.759,2.469
53.1,2.942,3.183,4.465,,8.144,6.831,5.807,,5.183,5.871,2.906
53.2,3.215,3.283,4.312,,8.471,7.157,7.08,,4.978,5.547,2.568
53.3,2.9,3.579,4.425,,7.91,7.105,6.448,,5.223,5.726,2.564
53.4,2.915,3.115,4.063,,8.288,7.07,7.133,,5.188,5.473,2.925
53.5,2.39,3.277,4.595,,8.606,6.745,7.013,,4.794,5.514,2.559
53.6,3.164,3.273,4.33,,8.696,7.213,6.704,,4.294,5.691,2.376
53.7,2.884,3.386,4.38,,8.743,6.639,6.581,,5.35,5.649,2.797
53.8,2.995,3.246,4.469,,9.005,6.714,6.93,,5.077,5.512,2.402
53.9,2.712,3.047,4.235,,8.371,7.058,6.052,,4.994,5.662,2.808
54,2.589,3.584,4.096,,8.051,6.961,6.578,,5.276,5.354,2.623
54.1,2.534,3.127,4.37,,8.374,6.623,6.436,,4.701,5.177,2.725
54.2,2.836,3.313,4.242,,7.937,7.012,6.46,,5.125,5.285,2.873
54.3,2.334,3.193,4.787,,8.016,7.06,6.519,,5.184,5.89,2.678
54.4,2.842,3.232,4.534,,7.986,7.439,6.808,,5.419,5.353,2.576
54.5,2.736,3.14,3.977,,8.908,7.365,6.945,,5.315,5.597,2.89
54.6,2.867,3.207,4.631,,8.445,7.097,6.493,,4.911,5.455,2.57
54.7,2.425,3.297,4.751,,8.112,7.156,5.76,,4.947,5.058,2.992
54.8,2.734,3.008,4.212,,8.868,7.076,6.109,,5.389,5.412,2.816
54.9,2.698,3.005,4.046,,8.443,7.06,6.702,,5.36,5.306,2.945
55,2.72,3.12,4.58,,8.801,7.23,5.844,,3.778,5.388,2.496
55.1,3.107,3.116,4.54,,8.68,7.146,6.146,,4.204,5.485,2.447
55.2,2.956,3.092,4.504,,8.435,7.287,5.549,,4.99,5.658,2.866
55.3,2.8,3.146,4.552,,8.993,7.263,5.754,,5.101,6.177,2.981
55.4,3.137,3.105,4.446,,8.89,7.053,6.055,,5.145,5.835,2.86
55.5,2.845,3.048,4.337,,8.811,6.964,6.133,,5.249,5.659,2.564
55.6,2.408,3.184,4.465,,9.148,7.065,6.77,,5.23,6.125,2.797
55.7,2.667,2.851,4.062,,8.853,6.925,6.88,,4.542,5.23,3.139
55.8,2.5,3.364,4.466,,9.024,7.151,5.915,,5.225,5.099,2.606
55.9,2.78,3.143,4.342,,9.071,7.29,6.151,,5.411,6.266,2.697
56,3.011,3.51,4.249,,9.446,6.819,5.735,,5.415,5.358,2.969
56.1,2.859,3.334,4.612,,8.957,6.866,5.36,,4.736,5.667,3.089
56.2,3.028,3.175,4.325,,8.878,7.09,6.031,,4.863,5.005,2.838
56.3,3.043,3.077,4.6,,8.812,6.82,5.648,,5.239,4.832,2.697
56.4,2.94,2.892,4.468,,8.693,6.927,5.828,,5.703,5.467,2.737
56.5,3.195,2.973,4.69,,8.71,7.177,5.187,,4.848,5.202,2.518
56.6,2.944,3.21,3.987,,8.582,6.689,5.596,,5.542,5.215,2.875
56.7,2.924,2.965,4.124,,8.917,6.821,5.465,,4.99,5.527,2.59
56.8,2.724,2.951,4.311,,8.638,7.513,5.709,,5.11,5.325,2.478
56.9,2.773,3.181,4.285,,8.663,6.634,5.413,,5.136,5.437,2.863
57,2.856,3.22,4.669,,8.342,6.913,5.348,,4.795,5.629,2.494
57.1,3.045,3.104,4.901,,8.689,7.303,5.437,,4.62,5.851,2.588
57.2,3.035,3.218,4.759,,8.304,6.774,5.415,,4.942,5.2,2.46
57.3,2.973,2.85,4.87,,8.483,6.899,5.325,,4.926,5.444,2.628
57.4,3.185,3.089,4.584,,9.309,7.053,5.13,,4.959,5.185,2.552
57.5,2.855,3.149,4.795,,8.126,7.086,5.042,,4.885,5.754,2.366
57.6,3.127,3.274,4.533,,9.039,7.037,4.871,,4.933,5.638,2.346
57.7,2.764,3.043,4.611,,8.32,6.982,5.481,,4.951,5.488,2.616
57.8,2.936,3.184,4.639,,8.446,6.468,5.248,,5.012,5.475,2.366
57.9,2.865,3.236,4.173,,8.407,6.811,5.494,,4.573,5.459,2.439
58,3.046,2.942,4.687,,8.818,6.859,5.496,,4.932,5.28,2.815
58.1,2.868,2.831,4.403,,9.478,7.323,5.346,,4.919,5.469,2.943
58.2,3.079,3.011,4.325,,9.034,7.466,5.103,,5.038,5.528,2.363
58.3,2.937,3.512,4.994,,8.78,6.965,5.165,,5.013,5.325,2.41
58.4,2.608,3.059,4.776,,8.626,6.826,5.335,,4.955,5.447,2.93
58.5,2.634,3.132,4.093,,8.926,7.431,4.912,,5.091,5.792,2.336
58.6,2.732,2.971,4.222,,8.796,6.844,5.23,,4.796,5.389,2.726
58.7,3.301,2.848,4.686,,8.48,7.236,5.011,,5.109,5.128,3.023
58.8,3.097,2.994,4.859,,8.794,7.3,5.147,,4.784,5.141,2.693
58.9,3.02,3.105,4.509,,8.168,7.68,5.252,,5.069,5.336,2.662
59,2.892,3.242,4.783,,7.996,7.219,5.24,,5.087,4.981,2.696
59.1,2.809,2.953,4.106,,7.876,7.251,5.202,,4.738,5.332,2.821
59.2,2.704,3.208,4.368,,8.649,7.126,5.158,,4.673,5.202,3.066
59.3,3.097,3.038,4.565,,8.405,6.923,5.546,,4.5,5.123,2.804
59.4,3.106,3.334,4.441,,8.171,6.879,5.284,,5.077,4.984,2.818
59.5,2.82,3.029,4.549,,8.668,7.315,5.747,,4.901,5.497,2.647
59.6,3.173,2.761,4.355,,8.796,7.018,5.755,,5.142,5.492,2.728
59.7,2.819,2.891,4.454,,8.583,7.413,5.773,,4.819,5.547,2.529
59.8,2.866,3.35,4.277,,8.689,6.908,6.142,,4.829,5.737,2.726
59.9,3.177,3.219,4.409,,8.289,7.39,5.873,,4.925,6.047,2.832
60,2.726,3.187,4.394,,8.567,7.352,5.614,,4.883,6.077,3.326
60.1,2.991,3.196,4.195,,8.883,7.721,5.434,,4.982,5.447,3.435
60.2,3.335,3.159,4.303,,8.743,7.251,5.678,,5.08,5.346,3.102
60.3,3.387,3.103,4.835,,8.714,7.335,6.082,,5.056,5.886,2.685
60.4,2.661,3.306,4.559,,8.813,7.254,5.363,,5.281,5.931,2.752
60.5,2.822,3.176,5.142,,8.755,7.472,5.922,,5.47,5.422,2.601
60.6,2.831,3.186,4.591,,8.73,7.561,5.392,,5.463,5.492,2.909
60.7,3.189,3.118,5.209,,8.917,7.335,5.998,,5.102,5.558,2.795
60.8,2.905,3.087,4.843,,8.134,7.423,5.443,,5.144,5.332,2.733
60.9,2.726,3.05,4.414,,8.178,7.127,6.47,,5.066,5.642,3.151
61,2.322,3.195,4.568,,8.079,7.527,5.715,,5.095,5.539,3.023
61.1,2.947,3.263,4.689,,8.701,6.95,6.282,,5.233,5.266,2.765
61.2,2.777,3.338,4.16,,8.574,7.084,5.701,,5.052,5.156,2.916
61.3,2.783,3.116,4.512,,8.456,7.062,5.895,,4.887,5.242,2.313
61.4,2.45,3.558,4.311,,8.459,7.049,6.059,,4.722,5.251,2.638
61.5,2.988,3.574,4.817,,8.89,6.936,6.183,,5,5.296,2.74
61.6,3.19,3.347,4.229,,8.515,7.478,6.206,,5.331,5.015,2.632
61.7,2.798,3.381,4.636,,8.719,7.108,5.889,,4.974,4.682,2.62
61.8,3.125,3.644,4.256,,8.902,7.325,5.993,,4.942,5.278,2.627
61.9,3.102,3.406,4.523,,8.34,7.494,5.519,,4.937,5.211,2.881
62,2.82,3.504,4.488,,8.641,7.117,5.77,,4.933,5.316,2.561
62.1,2.911,3.273,4.153,,8.539,7.066,5.617,,4.85,4.996,3.586
62.2,2.798,3.521,4.413,,8.622,7.425,6.13,,4.996,5.174,2.82
62.3,2.912,3.29,4.689,,8.393,7.256,6.142,,4.85,5.369,3.306
62.4,2.827,3.498,4.556,,8.272,7.294,6.152,,4.996,5.417,3.509
62.5,2.905,3.199,5.024,,8.39,6.846,6.511,,4.803,5.334,2.944
62.6,2.05,3.514,4.698,,8.525,7.254,5.717,,5.076,5.161,2.928
62.7,2.359,3.406,4.715,,7.829,6.537,6.274,,4.575,5.374,2.791
62.8,2.483,3.474,4.54,,7.939,6.88,6.23,,5.242,5.239,3.16
62.9,2.334,3.564,4.383,,7.807,6.613,6.192,,5.086,5.189,2.811
63,2.162,3.436,4.548,,7.83,7.034,6.61,,5.075,5.009,2.881
63.1,2.907,3.416,4.517,,7.938,7.162,6.703,,4.83,5.134,2.621
63.2,3.012,3.445,4.614,,8.162,7.297,6.754,,5.195,5.435,2.828
63.3,2.858,3.75,4.525,,8.145,7.081,6.236,,4.99,5.116,3.205
63.4,3.37,3.431,4.751,,8.158,6.977,6.545,,4.745,5.651,3.215
63.5,2.918,3.431,4.608,,8.02,6.753,6.696,,5.219,5.35,3.006
63.6,3.117,3.562,4.171,,8.197,7.248,7.076,,4.575,5.239,3.693
63.7,3.158,3.536,4.608,,8.633,7.144,6.756,,4.955,5.546,3.546
63.8,2.837,3.342,4.738,,8.245,7.23,7.501,,5.305,5.548,3.541
63.9,2.847,3.629,4.632,,7.995,7.237,6.763,,4.903,5.797,3.262
64,2.825,3.533,4.443,,8.73,6.983,7.523,,4.836,5.795,3.436
64.1,2.727,3.481,4.397,,7.185,7.067,7.383,,4.931,5.52,3.045
64.2,3.027,3.454,4.46,,7.305,6.999,7.465,,5.099,5.29,3.707
64.3,3.123,3.574,4.555,,7.305,6.885,7.461,,5.178,4.94,3.329
64.4,2.726,3.693,4.572,,6.929,7.175,6.776,,5.166,5.318,3.584
64.5,2.663,3.537,4.55,,7.814,6.857,6.382,,5.09,4.97,3.083
64.6,2.73,3.487,4.737,,8.113,7.314,7.682,,4.904,5.368,3.527
64.7,2.801,3.417,4.664,,7.37,7.389,6.962,,5.161,5.49,3.244
64.8,3.068,3.409,4.695,,8.096,7.117,6.992,,4.814,5.205,3.631
64.9,2.75,3.773,4.494,,7.486,7.488,6.786,,5.145,5.459,2.982
65,2.801,3.353,4.36,,7.499,7.175,6.937,,5.236,5.082,3.335
65.1,2.61,3.579,4.389,,7.768,7.139,7.494,,4.776,4.954,3.314
65.2,3.051,3.836,4.649,,7.669,6.983,7.475,,4.957,5.565,2.911
65.3,2.915,3.674,4.659,,8.457,6.977,7.47,,5.01,5.694,2.472
65.4,2.66,3.743,4.579,,8.151,7.085,8.267,,5.13,5.818,3.492
65.5,2.74,3.411,4.419,,7.679,6.58,7.96,,5.31,5.54,3.089
65.6,2.561,3.484,4.392,,7.347,7.312,7.653,,4.882,5.333,3.196
65.7,2.873,3.551,4.853,,8.205,7.024,7.575,,5.053,5.269,2.809
65.8,3.042,3.694,4.39,,7.318,7.161,7.401,,4.779,5.646,3.412
