,Wild,Wild,Wild,,W86A,W86A,W86A,,W286A,W286A,W286A
Time,41,1821,3191,,41,1821,3191,,41,1821,3191
7.6,2.563,2.109,4.002,,3.935,6.43,4.352,,2.729,5.139,2.398
7.7,2.517,1.954,3.575,,4.194,6.798,4.245,,2.628,5.632,2.266
7.8,2.583,2.581,3.776,,4.543,6.527,3.766,,2.617,5.253,2.625
7.9,2.733,2.14,3.815,,4.574,6.883,4.31,,2.867,5.406,2.395
8,2.599,2.193,3.926,,4.008,6.177,4.477,,2.769,5.506,2.664
8.1,2.872,2.185,4.328,,4.239,6.455,4.418,,2.718,5.095,2.349
8.2,2.637,2.094,4.332,,4.546,6.085,4.278,,2.726,5.001,2.371
8.3,2.429,2.156,4.077,,3.925,6.387,4.648,,2.673,4.881,1.824
8.4,2.788,2.735,4.225,,4.048,6.577,4.336,,2.85,4.904,2.242
8.5,2.625,2.696,3.277,,5.018,6.51,4.301,,2.517,4.837,2.324
8.6,2.939,2.305,3.029,,5.009,7.048,4.345,,2.73,4.954,2.709
8.7,2.366,2.295,3.652,,4.847,6.224,3.713,,2.512,5.3,2.397
8.8,2.899,2.159,3.382,,4.575,6.381,4.681,,2.718,4.982,2.45
8.9,3.121,2.006,3.064,,5.143,5.784,4.384,,2.636,5.27,2.402
9,2.646,2.22,3.493,,4.48,6.09,3.793,,2.864,5.226,2.64
9.1,2.843,1.995,3.653,,5.206,6.497,2.894,,2.588,5.64,2.195
9.2,2.525,2.113,2.806,,5.246,6.091,3.406,,2.543,5.599,2.261
9.3,2.651,2.11,2.475,,5.775,6.352,3.446,,2.897,5.797,2.298
9.4,2.75,2.435,2.784,,6.298,6.098,2.793,,2.694,5.408,2.285
9.5,2.779,2.231,2.741,,6.263,5.692,2.583,,2.827,5.602,2.519
9.6,2.699,2.17,2.968,,5.964,5.72,3.173,,2.759,5.43,2.703
9.7,3.007,2.03,2.737,,6.139,5.858,3.762,,2.655,5.79,2.909
9.8,2.818,2.51,2.617,,6.021,6.063,3.351,,2.665,5.534,2.491
9.9,2.463,2.026,2.677,,5.725,5.853,3.525,,2.708,5.885,2.549
10,2.647,2.324,2.604,,6.622,5.946,3.129,,2.826,5.561,2.67
10.1,3.193,2.057,3.686,,5.979,6.359,3.395,,2.695,5.595,2.825
10.2,3.124,2.131,3.787,,6.69,6.465,3.74,,3.146,5.977,2.633
10.3,2.857,2.226,3.575,,6.19,6.654,4.278,,2.855,5.479,2.582
10.4,2.644,2.344,3.383,,6.124,6.147,3.37,,2.94,5.976,2.73
10.5,2.713,2.323,3.705,,6.202,6.65,4.106,,3.495,5.142,2.697
10.6,2.733,2.021,3.722,,5.973,6.398,3.952,,2.997,5.374,2.754
10.7,2.979,1.999,3.725,,7.136,5.836,3.879,,3.577,5.277,3.549
10.8,2.592,1.827,3.533,,6.087,5.779,3.955,,3.019,5.438,2.687
10.9,2.918,2.089,3.488,,6.125,6.511,3.506,,2.539,5.189,2.658
11,2.585,1.775,3.793,,6.505,6.432,3.665,,2.817,5.158,2.566
11.1,2.53,2.201,3.944,,6.962,5.965,4.018,,2.891,5.101,2.68
11.2,2.963,2.19,3.594,,6.02,5.723,4.467,,2.851,5.519,2.542
11.3,2.553,2.255,3.822,,6.759,5.527,3.593,,3.083,5.521,2.622
11.4,2.893,2.323,3.838,,6.369,5.785,4.049,,2.474,5.58,2.796
11.5,3.124,2.23,3.832,,6.16,6.404,3.455,,2.982,5.633,2.747
11.6,2.781,2.51,3.902,,6.194,5.7,4.173,,2.495,5.342,2.436
11.7,2.881,2.435,3.802,,6.873,5.753,3.324,,3.162,5.393,2.571
11.8,2.693,2.466,3.846,,5.768,5.611,3.816,,3.186,5.36,2.483
11.9,2.676,2.549,4.077,,6.927,6.113,3.663,,2.992,5.332,2.623
12,2.855,2.378,3.658,,5.852,6.685,3.944,,4.272,5.582,2.529
12.1,3.005,1.995,3.922,,6.592,6.402,3.406,,3.677,5.546,2.382
12.2,2.526,1.999,4.106,,6.793,6.491,4.063,,4.605,5.266,2.488
12.3,2.531,2.434,4.209,,6.386,6.721,3.644,,3.832,5.34,2.379
12.4,2.436,2.271,4.048,,7.293,6.678,3.589,,3.947,5.688,2.752
12.5,2.891,2.088,4.096,,7.148,5.95,3.408,,4.785,5.467,2.753
12.6,2.881,2.002,4.145,,7.405,5.758,3.927,,4.242,5.254,2.782
12.7,2.638,1.985,4.076,,8.016,5.839,4.067,,4.518,5.395,2.805
12.8,2.473,2.253,3.752,,7.291,5.072,3.979,,4.585,5.228,2.859
12.9,2.412,2,4.153,,6.716,5.558,4.01,,4.294,5.022,2.599
13,2.49,1.898,4.117,,6.639,5.762,4.051,,4.614,5.458,2.902
13.1,2.235,1.995,3.896,,7,5.942,4.015,,4.937,5.514,2.701
13.2,2.585,1.772,4.189,,7.457,5.865,3.772,,4.334,5.006,2.796
13.3,2.431,2.099,3.937,,6.43,5.974,4.121,,4.783,4.884,2.855
13.4,2.627,1.794,4.01,,6.751,5.81,3.517,,4.616,5.382,2.864
13.5,2.689,2.18,4.163,,6.643,5.184,3.9,,4.847,5.291,3.089
13.6,2.527,2.269,4.201,,8.027,5.813,3.589,,4.512,5.726,3.142
13.7,2.49,2.13,4.06,,7.56,6.678,4.195,,4.511,5.096,2.724
13.8,2.375,2.106,4.001,,7.752,6.367,4.002,,4.301,5.203,2.525
13.9,2.746,2.099,3.927,,6.789,6.35,3.458,,4.24,4.985,2.397
14,2.737,2.253,4.141,,6.659,6.548,3.18,,4.171,5.43,2.65
14.1,2.643,2.319,3.8,,6.589,6.254,3.808,,4.038,5.298,2.638
14.2,2.294,2.115,3.994,,7.003,6.908,3.653,,4.074,4.894,3.016
14.3,2.429,1.948,3.859,,6.933,6.834,3.964,,3.955,4.889,2.682
14.4,2.488,1.905,4.21,,6.706,7.04,3.674,,4.476,5.328,3.05
14.5,2.764,2.059,3.62,,6.245,6.672,3.689,,4.685,5.34,3.117
14.6,2.603,2.197,4.129,,6.779,6.887,4.018,,4.574,5.215,2.672
14.7,2.876,2.028,3.489,,6.446,6.488,3.834,,4.416,5.36,2.728
14.8,2.624,2.161,3.826,,7.734,6.73,4.276,,4.317,5.704,2.243
14.9,2.434,2.328,3.346,,6.893,6.829,3.966,,4.503,5.776,2.694
15,2.587,1.881,3.826,,7.03,6.537,3.901,,4.522,5.56,2.706
15.1,2.476,2.182,3.662,,6.707,6.58,3.818,,4.723,5.587,3
15.2,2.788,2.054,4.023,,7.226,7.017,3.735,,4.128,5.755,3.269
15.3,2.576,2.724,3.606,,6.854,6.923,3.603,,4.431,5.349,2.735
15.4,2.677,2.495,4,,6.737,6.299,3.979,,4.298,5.35,2.488
15.5,2.585,2.64,4.363,,6.883,6.51,3.677,,4.5,5.307,2.676
