,Wild,Wild,Wild,,W86A,W86A,W86A,,W286A,W286A,W286A
,41,1821,3191,,41,1821,3191,,41,1821,3191
AVG,2.668933,2.888996,4.289634,,8.115609,6.534997,5.384246,,4.580683,5.254235,2.858987
SD,0.271776657,0.677541339,0.466156639,,1.651661012,0.885590135,1.887150315,,0.908902919,0.573863809,0.536384763
Slope-50,-0.009128036,0.009133647,-0.005282816,,0.041999561,-0.015386604,0.009197817,,0.003153739,-0.006107456,0.018643267
R2,0.220746115,0.324780869,0.100794197,,0.350671292,0.211243803,0.015015851,,0.016182896,0.079088801,0.472545738
CV,10.18297037,23.4524845,10.86704924,,20.35165829,13.55150025,35.04948167,,19.84208293,10.92192887,18.76135717
Correlation,0.305380405,0.87282846,0.523390209,,0.811812307,0.695615528,0.893415718,,0.744786474,0.354201457,0.564756597
Frequency,6,1,1,,1,1,1,,1,1,1
