Activity_ID,Quality,source,CID,SMILES,,,,,doc_id,Year,all_years,type_IC50,type_EC50,type_KD,type_Ki,pchembl_value,pchembl_value_Mean,pchembl_value_Median
BSYAXFZBHCNOSO_on_P22303_WT,High,ChEMBL31,ChEMBL31.compound.471285,Cc1ccc(S(=O)(=O)SCc2ccc(C(F)(F)F)cc2)cc1,,,,,PMID:33979775,2021,2021,0,0,0,1,6.83,6.83,6.83
BTALDSWITOMLAC_on_P22303_WT,High,ChEMBL31,ChEMBL31.compound.189698,O=C(NCCc1c[nH]c2ccccc12)c1ccc(OCCCCn2c3ccccc3c3c2cccc3)cc1,,,,,PMID:23041347,2012,2012,0,0,0,1,5.84,5.84,5.84
BVXQHSRGCUOBMQ_on_P22303_WT,High,ChEMBL31,ChEMBL31.compound.469193,COc1c(OC)cc2C(=O)C(CC3(F)CCN(Cc4cccc(F)c4)CC3)Cc2c1,,,,,PMID:33570950,2021,2021,0,0,1,0,8.3,8.3,8.3
BXAOZDHJHXGRFU_on_P22303_WT,High,ChEMBL31,ChEMBL31.compound.303069,O=C1C(=CC2CCN(Cc3ccccc3)CC2)Cc2c1cc(O)cc2,,,,,PMID:27190595,2016,2016,0,0,0,1,5.37,5.37,5.37
CBQWJVRTMNAWFV_on_P22303_WT,High,ChEMBL31,ChEMBL31.compound.471282,Cc1ccc(S(=O)(=O)SCc2ccc(Cl)cc2)cc1,,,,,PMID:33979775,2021,2021,0,0,0,1,6.15,6.15,6.15
CELUBGDHQLHVFE_on_P22303_WT,High,ChEMBL31,ChEMBL31.compound.198185,CCOC(=O)C1=C(C)Oc2c(c(N)c3CCCc3n2)C1c1cc(OC)ccc1,,,,,DOI:10.1007/s00044-010-9516-x,2012,2012,1,0,0,0,4.62,4.62,4.62
CGAAHNXTXSLXAJ_on_P22303_WT,High,ChEMBL31,ChEMBL31.compound.200551,CC(C)=CCCC(C)=CCc1c(O)cc(O)c(-c2cc(=O)c3c(cc(O)cc3O)o2)c1,,,,,DOI:10.1007/s00044-012-0353-y,2013,2013,0,0,0,1,5.51,5.51,5.51
CGPFCMGYTPXYSJ_on_P22303_WT,High,ChEMBL31,ChEMBL31.compound.40938,O=C(CCc1cc[n+](Cc2ccccc2)cc1)c1cc2c(cc1)OCO2,,,,,PMID:15481986,2004,2004,0,0,0,1,6.62,6.62,6.62
CHMZSXAIQRLCLX_on_P22303_WT,High,ChEMBL31,ChEMBL31.compound.67345,Cc1[n+](C)ccc2c1n(C)c1c2cc(O)cc1,,,,,PMID:16945529,2006,2006,1,0,0,0,5.72,5.72,5.72
CMPJCHPQDIBNCS_on_P22303_WT,High,ChEMBL31,ChEMBL31.compound.201551,Clc1ccc(C2CC(c3c4ccccc4cc4ccccc34)=NN2)cc1,,,,,PMID:23276831,2013,2013,0,0,0,1,7.52,7.52,7.52
