SMILES,Is_Inhibitor,AD_Distance,Inside_AD
Cc1ccccc1NC(=O)Oc1ccc2c(c1)C1(C)CCOC1O2,True,0.7142857142857143,True
CCOC(O)=C1C(C)=Nc2nc3c(c(N)c2C1c1cccc([N+](=O)[O-])c1)CCCC3,True,0.6666666666666666,True
CCC(C)n1cc(C(=O)C(F)F)cn1,True,0.6981132075471698,True
c1cc[n+](CCCCCCCCCCCC[n+]2cccc3ccccc32)cc1,True,0.8235294117647058,False
CN(CCC(=O)N1CCN(CCNc2c3c(nc4ccccc24)CCCC3)CC1)C1CCCCC1,True,0.7641509433962265,True
COc1cccc(CCCCCCCc2cccc(OC)[n+]2C)[n+]1C,True,0.7555555555555555,True
c1ccc2oc(CNCCCCCCCNc3c4c(nc5ccccc35)CCCC4)cc2c1,True,0.7954545454545454,True
CNC(=O)Oc1ccc2c(c1)C1(C)CCOC1N2C,True,0.6973684210526315,True
CN(CCCN1CCN(CCNc2c3c(nc4ccccc24)CCCC3)CC1)C1CCCCC1,True,0.8061224489795918,True
CCN(CC)Cc1cccc(CC2Cc3cc(OC)c(OC)cc3C2=O)c1,True,0.782051282051282,True
COc1cc2cc(C(=O)C3CCC[N+](C)(Cc4ccccc4)CC3)sc2cc1OC,True,0.7582417582417582,True
NS(=O)(=O)c1ccc(C(=O)n2[nH]c(=O)c3c(F)cccc3c2=O)cc1,True,0.59375,True
O=C1Cc2cc3c(CCC4CCN(Cc5ccccc5)CC4)noc3cc2N1,True,0.7362637362637363,True
O=[N+]([O-])c1cccc(C2CC(c3c4ccccc4cc4ccccc34)=NN2)c1,True,0.704225352112676,True
COC(=O)C[N+]1(C)CCC(CCC(=O)C2Cc3cc(OC)c(OC)cc3S2)CC1,True,0.7471264367816092,True
Cc1ccc2oc(-c3ccc(OCCCCCCN4CCCCC4)cc3)cc(=O)c2c1,True,0.7613636363636364,True
Cc1c(S(=O)(=O)c2ccc(Cl)cc2)csc1C(=O)NC1CCN(Cc2ccccc2)CC1,True,0.6704545454545454,True
COc1ccc2c(c1)CC(NC(=O)N(C)C)CC2,True,0.7681159420289855,True
COc1cc2c(cc1OC)C(=O)C(Oc1ccc(CN3CCN(C)CC3)cc1)C2,True,0.7560975609756098,True
CC(=O)Nc1ccc2c(CCC3CCN(Cc4ccccc4)CC3)noc2c1,True,0.7804878048780488,True
Cc1cc(C(=O)CCC2CC[N+](C)(Cc3ccccc3)CC2)nn1-c1ccccc1,True,0.7380952380952381,True
CC(=O)c1ccccc1NC(=O)c1ccc(OCCCCC[n+]2ccc3ccccc3c2)cc1,True,0.7912087912087912,True
Oc1ccc2c(CCC3CCN(Cc4ccccc4)CC3)noc2c1,True,0.7654320987654321,True
COc1cc2c(cc1OC)C(=O)C(=Cc1cccc(CN3CCCC3)c1)C2,True,0.75,True
CC(=O)c1ccccc1NC(=O)c1ccc(OCCCCCC[n+]2ccccc2)cc1,True,0.7654320987654321,True
NS(=O)(=O)c1ccc(C(=O)n2[nH]c(=O)c3c([N+](=O)[O-])cccc3c2=O)cc1,True,0.6338028169014085,True
c1ccc(C2CC(c3c4ccccc4cc4ccccc34)=NN2)cc1,True,0.7719298245614035,True
CN(C)S(=O)(=O)NC1CCc2c(O)cccc2C1,True,0.7647058823529411,True
O=C(NCCCCCCNc1c2c(nc3ccccc13)CCCC2)c1cc2cc(OC(F)(F)F)ccc2oc1=O,True,0.6698113207547169,True
CC(C)(C)c1cc[n+](C=C2C=C3CC(=C[n+]4ccc(C(C)(C)C)cc4)C=CC3=CC2)cc1,True,0.8115942028985508,True
COc1cc2cc(C(=O)C3CC[N+](C)(Cc4ccccc4)CCC3OC)sc2cc1OC,True,0.7526881720430108,True
FC(F)(F)Oc1ccc(CNC2CCN(Cc3ccccc3)C2)cc1,True,0.7534246575342466,True
CCc1ccccc1NC(=O)Oc1ccc2c(c1)C1(C)CC[N+](C)([O-])C1N2C,True,0.7604166666666666,True
COc1ccc(Cn2cc(C(=O)NCCCNc3c4c(nc5cc(Cl)ccc35)CCCC4)c(=O)c3ccccc32)cc1,True,0.8016528925619835,True
CCN(CC)c1cc(C=C2OC(=O)c3cc(OC)c(OC)cc32)ccc1O,True,0.6973684210526315,True
O=C(CNCc1cc(F)cc(F)c1)Nc1ccc2nc3n(c(=O)c2c1)CCC3,True,0.6823529411764706,True
