Wild,Wild,Trp86Ala,Trp86Ala,Trp286Ala,Trp286Ala
Ligand,Binding Affinity,Ligand,Binding Affinity,Ligand,Binding Affinity
ligand 41,-13.1,ligand 41,-12.8,ligand 41,-12.6
ligand 1631,-13,ligand 1631,-11.9,ligand 1631,-12
ligand 1821,-12.5,ligand 1821,-11.2,ligand 1821,-12.7
ligand 3191,-12.9,ligand 3191,-12.4,ligand 3191,-11.1
