Wild,,,Trp86Ala,,,Trp286Ala,
ligand_411_log,-11.5,,ligand_2271_log,-11.2,,ligand_1891_log,-11
ligand_4151_log,-11.5,,ligand_2311_log,-10.7,,ligand_1901_log,-10.8
ligand_4231_log,-11.5,,ligand_2321_log,-10.8,,ligand_1941_log,-11.6
ligand_5061_log,-11.5,,ligand_2351_log,-11.1,,ligand_1951_log,-12.2
,,,ligand_2391_log,-10.8,,ligand_201_log,-11
,,,ligand_2431_log,-11.3,,ligand_2021_log,-11.6
,,,ligand_2471_log,-11.4,,ligand_2051_log,-11.7
,,,ligand_2491_log,-10.9,,ligand_2061_log,-11.9
,,,ligand_2501_log,-11.1,,ligand_2101_log,-11.5
,,,ligand_251_log,-10.8,,ligand_2161_log,-11.7
,,,ligand_2511_log,-11.5,,ligand_2181_log,-12.3
,,,ligand_2521_log,-11.7,,ligand_2191_log,-11.4
,,,ligand_2531_log,-11.3,,ligand_221_log,-11.2
,,,ligand_2541_log,-12.2,,ligand_2241_log,-11
,,,ligand_2551_log,-10.8,,ligand_2271_log,-12.4
,,,ligand_2621_log,-10.7,,ligand_2301_log,-10.8
,,,ligand_2631_log,-10.8,,ligand_231_log,-11.2
,,,ligand_2651_log,-11,,ligand_2311_log,-11.4
,,,ligand_2661_log,-10.8,,ligand_2321_log,-11
,,,ligand_2681_log,-10.8,,ligand_2331_log,-11
,,,ligand_2691_log,-10.7,,ligand_2341_log,-11.2
,,,ligand_271_log,-10.7,,ligand_2351_log,-11.4
,,,ligand_2711_log,-11.2,,ligand_2391_log,-11.7
,,,ligand_2731_log,-10.8,,ligand_241_log,-11.3
,,,ligand_2741_log,-11.8,,ligand_2431_log,-11.8
,,,ligand_2751_log,-11.2,,ligand_2461_log,-11.9
,,,ligand_2771_log,-11,,ligand_2471_log,-10.9
,,,ligand_2781_log,-11.6,,ligand_2501_log,-12.3
,,,ligand_2791_log,-11,,ligand_251_log,-11.7
,,,ligand_291_log,-10.9,,ligand_2521_log,-12.3
,,,ligand_2911_log,-11.2,,ligand_2531_log,-11.8
,,,ligand_2961_log,-11.1,,ligand_2551_log,-11.6
,,,ligand_2971_log,-10.9,,ligand_2571_log,-12
,,,ligand_2981_log,-11.3,,ligand_2581_log,-11
,,,ligand_2991_log,-11.5,,ligand_2601_log,-11.3
,,,ligand_3001_log,-11.5,,ligand_261_log,-10.8
,,,ligand_3021_log,-11.2,,ligand_2621_log,-12.1
,,,ligand_3061_log,-11.3,,ligand_2631_log,-11
,,,ligand_3091_log,-11,,ligand_2651_log,-11.3
,,,ligand_3121_log,-11.8,,ligand_2661_log,-12
,,,ligand_3131_log,-10.7,,ligand_2681_log,-11.3
,,,ligand_3151_log,-10.8,,ligand_2701_log,-11.8
,,,ligand_3191_log,-12.4,,ligand_271_log,-11.3
,,,ligand_3271_log,-11,,ligand_2711_log,-12.1
,,,ligand_3311_log,-12.6,,ligand_2721_log,-10.9
,,,ligand_3351_log,-11.1,,ligand_2731_log,-12.1
,,,ligand_3381_log,-10.7,,ligand_2741_log,-11.1
,,,ligand_3391_log,-11.8,,ligand_2751_log,-11.5
,,,ligand_3441_log,-11.7,,ligand_2771_log,-11.3
,,,ligand_3451_log,-10.7,,ligand_2781_log,-11.9
,,,ligand_3471_log,-10.9,,ligand_2791_log,-11.4
,,,ligand_3481_log,-11.2,,ligand_2801_log,-11
,,,ligand_3491_log,-11.5,,ligand_2811_log,-11.1
,,,ligand_351_log,-10.7,,ligand_2821_log,-10.9
,,,ligand_3561_log,-10.9,,ligand_2831_log,-11.6
,,,ligand_3591_log,-12.2,,ligand_2851_log,-11.3
,,,ligand_3601_log,-11.3,,ligand_2871_log,-11.4
,,,ligand_361_log,-11,,ligand_2881_log,-11
,,,ligand_3631_log,-11.6,,ligand_2891_log,-10.9
,,,ligand_3641_log,-11,,ligand_2901_log,-11
,,,ligand_3691_log,-10.7,,ligand_2931_log,-11.2
,,,ligand_371_log,-10.7,,ligand_2941_log,-11.1
,,,ligand_3731_log,-10.8,,ligand_2951_log,-11.2
,,,ligand_3751_log,-11.2,,ligand_2961_log,-11.3
,,,ligand_3801_log,-11,,ligand_2981_log,-12.2
,,,ligand_381_log,-10.7,,ligand_2991_log,-12.2
,,,ligand_3841_log,-10.8,,ligand_3001_log,-11.4
,,,ligand_3871_log,-11,,ligand_3021_log,-11
,,,ligand_3891_log,-11.2,,ligand_3061_log,-12
,,,ligand_3911_log,-10.7,,ligand_3091_log,-12
,,,ligand_401_log,-10.9,,ligand_31_log,-12
,,,ligand_4021_log,-10.7,,ligand_311_log,-10.9
,,,ligand_4051_log,-11,,ligand_3111_log,-11.1
,,,ligand_4091_log,-11.3,,ligand_3121_log,-11.7
,,,ligand_41_log,-12.8,,ligand_3141_log,-11.4
,,,ligand_411_log,-11.2,,ligand_3151_log,-11
,,,ligand_4131_log,-11.1,,ligand_3181_log,-10.9
,,,ligand_4151_log,-10.9,,ligand_3191_log,-11.1
,,,ligand_4211_log,-11.7,,ligand_3221_log,-11
,,,ligand_4261_log,-11,,ligand_3271_log,-11.6
,,,ligand_4291_log,-11.2,,ligand_3291_log,-11.5
,,,ligand_4301_log,-10.8,,ligand_331_log,-11.7
,,,ligand_4311_log,-10.7,,ligand_3311_log,-12.3
,,,ligand_4351_log,-10.9,,ligand_3321_log,-11.4
,,,ligand_4391_log,-11.1,,ligand_3351_log,-11
,,,ligand_4401_log,-10.7,,ligand_3371_log,-11.6
,,,ligand_441_log,-10.8,,ligand_3381_log,-11.7
,,,ligand_4411_log,-10.8,,ligand_3391_log,-11.4
,,,ligand_4461_log,-11.4,,ligand_3441_log,-12
,,,ligand_4491_log,-11,,ligand_3451_log,-12.4
,,,ligand_451_log,-11.9,,ligand_3461_log,-10.8
,,,ligand_4531_log,-11,,ligand_3471_log,-11.4
,,,ligand_4571_log,-10.7,,ligand_3481_log,-10.9
,,,ligand_4601_log,-11.3,,ligand_3491_log,-11.6
,,,ligand_461_log,-11.6,,ligand_3501_log,-11.1
,,,ligand_4621_log,-11,,ligand_351_log,-12.1
,,,ligand_4641_log,-10.9,,ligand_3561_log,-11.4
,,,ligand_4651_log,-11.3,,ligand_3571_log,-11
,,,ligand_4701_log,-11,,ligand_3591_log,-11.7
,,,ligand_471_log,-11.1,,ligand_3601_log,-11.8
,,,ligand_4711_log,-11.9,,ligand_3621_log,-11
,,,ligand_4741_log,-11.1,,ligand_3631_log,-11.4
,,,ligand_4751_log,-11.1,,ligand_3641_log,-11.1
