CV1,Raw_Free_Energy,Smoothed_Free_Energy
4.310588375993262389e+00,1.140605506107396572e+01,1.148264598640430734e+01
4.409404583657424936e+00,1.089283366293115130e+01,1.099198778446759661e+01
4.508220791321587484e+00,1.031680567418466232e+01,1.029946005631549433e+01
4.607036998985750031e+00,9.614977871169015700e+00,9.451357750170032546e+00
4.705853206649912579e+00,8.743535894037421485e+00,8.493975814253239776e+00
4.804669414314076015e+00,7.660143149596257750e+00,7.473609196787153408e+00
4.903485621978238562e+00,6.449737623162639544e+00,6.436552845993800176e+00
5.002301829642401110e+00,5.157513581236260691e+00,5.429101710095237898e+00
5.101118037306563657e+00,4.039869343367869625e+00,4.581876465738989879e+00
5.199934244970726205e+00,3.422685800648751275e+00,3.864152395504428128e+00
5.298750452634888752e+00,3.066021975546791900e+00,3.301407746460483850e+00
5.397566660299051300e+00,2.930190366937946767e+00,2.909185448123840612e+00
5.496382867963213847e+00,2.886204737185566138e+00,2.682406571951189367e+00
5.595199075627377283e+00,2.785282890265389444e+00,2.594333472558944642e+00
5.694015283291539831e+00,2.690690856436078526e+00,2.604021831652818975e+00
5.792831490955702378e+00,2.645823613893004467e+00,2.655947850987657954e+00
5.891647698619864926e+00,2.636157702306108686e+00,2.708630673760780372e+00
5.990463906284027473e+00,2.698124354860106600e+00,2.763578439333218562e+00
6.089280113948190021e+00,2.775602600743518167e+00,2.814708160377120016e+00
6.188096321612352568e+00,2.868834478934013887e+00,2.858697101272026142e+00
6.286912529276515116e+00,2.929987991495652366e+00,2.885378745586038463e+00
6.385728736940677663e+00,2.945553366369909387e+00,2.869211942234170643e+00
6.484544944604840211e+00,2.887585348827219622e+00,2.789405906856931239e+00
6.583361152269002758e+00,2.752462647332530654e+00,2.642275207046215435e+00
6.682177359933165306e+00,2.538116085222726692e+00,2.434599544893799816e+00
6.780993567597327853e+00,2.234822819071810240e+00,2.182155109614986710e+00
6.879809775261491289e+00,1.883762395290597746e+00,1.903713359612138056e+00
6.978625982925653837e+00,1.522879057528708779e+00,1.616314166457374135e+00
7.077442190589816384e+00,1.197634373039045741e+00,1.334581682263615843e+00
7.176258398253978932e+00,9.731111428656212814e-01,1.069415892998591744e+00
7.275074605918142367e+00,8.116962231184783327e-01,8.256879393075270412e-01
7.373890813582304915e+00,6.600805926131401158e-01,6.124902733670954946e-01
7.472707021246467463e+00,5.237437912188207534e-01,4.368995022690959074e-01
7.571523228910630010e+00,3.591615631344952098e-01,2.981989779915548699e-01
7.670339436574792558e+00,2.101288141118784758e-01,1.952643305321490885e-01
7.769155644238955105e+00,7.820264598437869086e-02,1.260652424029400920e-01
7.867971851903117653e+00,0.000000000000000000e+00,8.928682042274387054e-02
7.966788059567280200e+00,2.595785244734095248e-02,9.132319083770411294e-02
8.065604267231442748e+00,1.078604008147660276e-01,1.350177506918188719e-01
8.164420474895605295e+00,2.219887116191547605e-01,2.186046428165568656e-01
8.263236682559767843e+00,3.723728587584101968e-01,3.403733762394624551e-01
8.362052890223930390e+00,5.367361009283263540e-01,4.912119246006126927e-01
8.460869097888092938e+00,7.037733085841899605e-01,6.653132074165442056e-01
